Store,Product,Space,Profit,Sales,Units
96,APT 9,5.25,3143,57131.85,35
97,APT 9,5.25,1042,81431.87,72
99,APT 9,5.25,2732,75442.94,58
101,APT 9,5.25,7162,62711.5,37
102,APT 9,5.25,2269,95250.02,91
103,APT 9,5.25,3231,68305.41,4
104,APT 9,5.25,2124,44388.28,74
105,APT 9,5.25,4475,84852.12,59
106,APT 9,5.25,3450,46014.18,13
107,APT 9,5.25,1405,39236.02,6
108,APT 9,5.25,1334,62992.56,39
109,APT 9,5.25,4573,70331.26,91
110,APT 9,5.25,7055,64627.32,80
111,APT 9,5.25,9865,49289.58,10
112,APT 9,5.25,2457,37623.46,83
113,APT 9,5.25,7959,48661.78,61
114,APT 9,5.25,5833,52956.31,64
115,APT 9,4.75,9568,32984.42,42
117,APT 9,5.25,4746,46325.55,25
118,APT 9,5.25,6496,59113.54,10
119,APT 9,4.75,9394,38482.89,48
121,APT 9,5.25,7677,70378.47,28
123,APT 9,5.25,8396,49290.47,37
125,APT 9,4.75,8852,27134.55,86
126,APT 9,5.25,4340,65753.43,19
127,APT 9,5.25,7011,41001.14,69
129,APT 9,5.25,6358,55750.3,34
130,APT 9,5.25,5303,76756.5,17
132,APT 9,5.25,4166,53217.63,15
134,APT 9,5.25,9856,85233.29,74
136,APT 9,4.75,2743,32179.03,62
138,APT 9,5.25,6771,46815.18,68
139,APT 9,5.25,7722,37030.26,75
140,APT 9,5.25,4565,83687.98,39
141,APT 9,5.25,7408,57514.69,70
142,APT 9,5.25,2641,65966.73,21
143,APT 9,4.75,6249,28851.52,2
147,APT 9,5.25,1977,70947.14,17
148,APT 9,5.25,3642,51759.99,45
149,APT 9,5.25,3736,36198.37,28
153,APT 9,5.25,1740,42183.79,83
154,APT 9,5.25,4110,38540.71,17
155,APT 9,5.25,1243,67424.23,6
156,APT 9,5.25,4930,48811.43,60
158,APT 9,5.25,2234,60432.22,41
159,APT 9,5.25,7310,58458.37,56
160,APT 9,5.25,8377,54021.99,61
161,APT 9,5.25,7433,52567.02,44
162,APT 9,5.25,4855,37147.26,12
163,APT 9,4.25,6828,26683.6,55
165,APT 9,4.75,7631,28588.7,69
166,APT 9,5.25,2971,60427.79,82
167,APT 9,5.25,5266,42435.57,84
168,APT 9,5.25,4383,48396.57,19
169,APT 9,5.25,8277,42616.51,61
170,APT 9,5.25,6097,37572.46,38
171,APT 9,5.25,5071,68944.92,58
172,APT 9,5.25,4039,45000.42,29
173,APT 9,5.25,9194,61413.32,91
174,APT 9,5.25,6531,62908.84,33
175,APT 9,5.25,3799,74716.17,49
176,APT 9,5.25,7142,54694.6,71
177,APT 9,5.25,8430,36866.19,2
178,APT 9,5.25,3386,48557.43,17
179,APT 9,5.25,9458,55453.84,97
180,APT 9,4.75,1945,28536.77,96
182,APT 9,5.25,6016,60311.28,63
183,APT 9,5.25,1703,46987.17,24
184,APT 9,5.25,8272,63420.58,75
185,APT 9,4.75,1483,28755.38,1
186,APT 9,4.75,8843,29167.01,1
187,APT 9,5.25,8353,52021.97,31
188,APT 9,5.25,7232,55256.85,2
189,APT 9,5.25,1513,46798.19,33
190,APT 9,5.25,5713,56040.95,49
191,APT 9,5.25,9755,44483.99,78
192,APT 9,5.25,5060,36869.17,46
193,APT 9,5.25,8112,36498.13,10
195,APT 9,5.25,2533,22818.26,52
196,APT 9,5.25,4001,32317.12,39
197,APT 9,4.75,7437,31094.73,52
198,APT 9,5.25,7073,60322.06,70
200,APT 9,5.25,9675,50651.67,55
201,APT 9,5.25,9311,43249,24
202,APT 9,5.25,8519,78350.59,76
204,APT 9,5.25,9992,71462.72,26
205,APT 9,5.25,7205,67931.05,57
206,APT 9,5.25,4821,65625.02,21
207,APT 9,5.25,6723,45356.45,30
208,APT 9,5.25,4308,70819.94,72
209,APT 9,5.25,5416,61349.44,75
210,APT 9,5.25,1448,66866.86,6
211,APT 9,5.25,4830,39760.92,68
212,APT 9,5.25,1389,52723.53,36
213,APT 9,5.25,6546,64822.06,5
214,APT 9,5.25,5432,47997.41,98
215,APT 9,5.25,9842,36289.39,6
216,APT 9,5.25,2371,36806.93,87
217,APT 9,5.25,8133,58319.96,23
218,APT 9,5.25,9874,50692.56,100
219,APT 9,5.25,2566,78719.62,68
220,APT 9,5.25,8486,53017.56,12
221,APT 9,5.25,9474,96450.09,28
222,APT 9,5.25,6801,57759.86,99
223,APT 9,5.25,2036,55417.74,93
224,APT 9,5.25,1098,53893.35,8
225,APT 9,5.25,4017,52341.09,22
226,APT 9,5.25,3009,46488.51,23
227,APT 9,5.25,9626,73606.44,76
228,APT 9,5.25,2179,36277.58,28
229,APT 9,5.25,7127,99430.99,97
230,APT 9,5.25,7009,44097.77,13
231,APT 9,5.25,3535,46310.8,17
232,APT 9,5.25,4916,58862.07,36
233,APT 9,5.25,3611,42617.71,98
234,APT 9,5.25,7310,55327.12,93
235,APT 9,5.25,6536,56652.4,2
236,APT 9,5.25,6490,55736,53
237,APT 9,5.25,7249,83799.16,47
238,APT 9,5.25,1349,71025.88,48
239,APT 9,5.25,8187,111696.76,87
240,APT 9,5.25,9322,48408.99,40
241,APT 9,5.25,4075,87557.38,16
242,APT 9,5.25,6172,65419.27,71
243,APT 9,5.25,7602,41939.74,70
244,APT 9,5.25,1029,55844.84,38
245,APT 9,5.25,4394,56219.62,97
246,APT 9,5.25,6522,65160.81,71
247,APT 9,5.25,8507,53570.72,53
248,APT 9,5.25,7688,59668.29,91
249,APT 9,5.25,3881,39403.92,78
251,APT 9,5.25,2418,37800.8,41
252,APT 9,5.25,9572,55040.42,81
253,APT 9,5.25,8349,83988.19,57
254,APT 9,5.25,6239,56369.89,23
255,APT 9,5.25,8120,51231.05,20
256,APT 9,5.25,2793,54534.94,45
257,APT 9,5.25,4277,60964.81,83
258,APT 9,5.25,9398,35140.78,76
259,APT 9,5.25,6017,51907.71,73
260,APT 9,4.75,2131,33723.05,43
261,APT 9,5.25,2508,33426.86,77
262,APT 9,5.25,6017,59183.5,94
263,APT 9,5.25,1851,35811.52,56
264,APT 9,5.25,6562,69872.46,26
265,APT 9,5.25,2225,28236.88,37
266,APT 9,5.25,8791,29838.73,35
267,APT 9,5.25,1871,35677.77,44
268,APT 9,5.25,5558,61579.09,17
269,APT 9,5.25,3754,52244.75,93
270,APT 9,5.25,3311,34555.46,69
271,APT 9,5.25,4068,50870.16,79
272,APT 9,5.25,4628,77881.39,32
273,APT 9,5.25,7521,57520.65,96
274,APT 9,5.25,2240,29585.67,63
275,APT 9,5.25,3884,71065.36,53
276,APT 9,5.25,1953,38983.38,98
277,APT 9,5.25,3038,42217.73,55
278,APT 9,5.25,5496,36575.63,19
279,APT 9,5.25,1618,46612.72,60
280,APT 9,5.25,9794,87663.86,51
281,APT 9,5.25,8162,76625.7,35
282,APT 9,5.25,1982,65926.15,62
283,APT 9,5.25,8577,70926.76,87
284,APT 9,5.25,2019,32045.08,50
285,APT 9,5.25,2903,46586.33,45
286,APT 9,5.25,4189,51173.7,80
287,APT 9,5.25,3643,43781.39,35
288,APT 9,5.25,4658,42844.59,14
289,APT 9,5.25,1632,48181.18,20
290,APT 9,5.25,4098,26192.2,71
291,APT 9,5.25,4024,57522.28,93
292,APT 9,5.25,2452,58411.1,80
293,APT 9,5.25,4500,68198.87,42
295,APT 9,4.75,9781,23321.12,25
296,APT 9,5.25,5800,57950.22,22
297,APT 9,5.25,6598,46269.72,43
298,APT 9,5.25,1551,45028.45,21
299,APT 9,5.25,9056,62532.58,17
301,APT 9,5.25,4630,30126.53,42
302,APT 9,5.25,9819,27218.65,8
303,APT 9,5.25,8849,42710.86,3
304,APT 9,5.25,4026,50493.49,5
305,APT 9,5.25,9592,56536.81,86
306,APT 9,5.25,8997,49045.47,97
307,APT 9,5.25,1710,53830.62,30
308,APT 9,5.25,8867,49567,13
310,APT 9,5.25,4184,35642.88,79
311,APT 9,5.25,5536,38235.07,20
312,APT 9,4.75,3165,29423.18,12
313,APT 9,5.25,6724,34020.87,17
314,APT 9,5.25,6439,69145.59,32
315,APT 9,5.25,2468,30078.71,43
316,APT 9,5.25,4999,45288.81,38
317,APT 9,5.25,5745,43708.46,11
318,APT 9,5.25,8906,50635.71,34
319,APT 9,5.25,8626,28447.59,80
320,APT 9,5.25,5194,37648.27,68
321,APT 9,5.25,3212,76884.07,93
322,APT 9,5.25,4840,54741.31,18
323,APT 9,5.25,6295,40304.76,53
324,APT 9,5.25,6446,51642.19,96
325,APT 9,4.75,1235,26485.56,64
326,APT 9,5.25,8219,43866.96,99
327,APT 9,5.25,2434,74990.06,74
328,APT 9,5.25,3984,51364.57,36
329,APT 9,5.25,2223,78305.31,15
330,APT 9,5.25,1465,38427.85,30
331,APT 9,5.25,4716,64994.75,40
332,APT 9,5.25,4251,47106.16,39
333,APT 9,5.25,6737,65392.58,45
334,APT 9,5.25,4881,67859.77,62
335,APT 9,5.25,8442,58271.11,72
336,APT 9,5.25,1371,40590.96,33
337,APT 9,5.25,4776,72571.31,70
338,APT 9,5.25,3539,61523.72,63
339,APT 9,5.25,9400,50528.22,89
340,APT 9,5.25,7196,27862.15,18
341,APT 9,5.25,2054,44406.22,80
342,APT 9,4.75,1962,27685.23,73
343,APT 9,5.25,1209,27731.83,100
344,APT 9,5.25,5882,64769.01,33
345,APT 9,5.25,8136,57383.05,67
346,APT 9,5.25,4776,56665.52,78
347,APT 9,5.25,3201,75134.75,25
348,APT 9,5.25,2369,53453.5,8
349,APT 9,5.25,6313,37347.88,5
350,APT 9,5.25,3914,54331.84,58
351,APT 9,5.25,5971,63856.32,74
352,APT 9,5.25,8599,69373.07,81
353,APT 9,5.25,2085,41066.14,55
354,APT 9,5.25,1556,67543.95,43
355,APT 9,5.25,9573,31751.85,36
356,APT 9,5.25,2449,56369.11,42
357,APT 9,5.25,8120,55611.71,33
358,APT 9,5.25,4199,52407.53,59
359,APT 9,5.25,3389,77859.68,19
360,APT 9,5.25,6183,50797.92,11
361,APT 9,5.25,7657,34564.33,6
362,APT 9,5.25,8305,40424.26,54
363,APT 9,4.75,1670,30925.6,50
364,APT 9,5.25,4072,41137.98,65
365,APT 9,5.25,5402,34889.58,67
366,APT 9,5.25,5551,72348.25,77
367,APT 9,5.25,5178,28191.13,55
368,APT 9,5.25,4108,66720.04,43
369,APT 9,5.25,1736,25102.99,19
370,APT 9,5.25,9716,39567.2,10
371,APT 9,5.25,5358,61228.41,33
372,APT 9,5.25,3544,53066.47,68
373,APT 9,5.25,5378,60999.78,52
374,APT 9,5.25,6000,109039.51,61
376,APT 9,5.25,1329,44947.61,12
377,APT 9,5.25,6336,62984.33,56
378,APT 9,5.25,6417,70594.38,45
379,APT 9,5.25,2843,52951.03,52
380,APT 9,5.25,6493,54071.53,53
381,APT 9,5.25,1542,89698.32,76
382,APT 9,5.25,5313,67944.03,28
383,APT 9,5.25,1059,35265.16,83
384,APT 9,5.25,8611,47198.47,76
385,APT 9,5.25,7688,49948.24,71
386,APT 9,5.25,1111,62586.54,39
387,APT 9,5.25,8682,64899.89,33
388,APT 9,5.25,3857,44395.1,56
389,APT 9,5.25,4242,38163.69,80
390,APT 9,5.25,6844,79484.77,85
391,APT 9,5.25,8700,65041.07,98
392,APT 9,5.25,6850,44820.68,86
393,APT 9,5.25,2367,96616.58,34
394,APT 9,5.25,3682,30184.56,58
395,APT 9,5.25,9553,46317.14,43
396,APT 9,5.25,5967,76705.17,36
397,APT 9,5.25,6704,43490.5,56
398,APT 9,5.25,4093,34932.79,86
399,APT 9,4.75,4464,18200.24,47
401,APT 9,5.25,3398,42207.49,92
402,APT 9,4.75,3231,31875.99,85
403,APT 9,5.25,7322,44325.33,84
405,APT 9,5.25,4477,40955.01,13
406,APT 9,5.25,7469,44941.29,78
407,APT 9,5.25,1021,69170.53,66
408,APT 9,5.25,4696,75088.8,65
409,APT 9,4.75,1892,25890.93,69
411,APT 9,5.25,7257,70959.76,24
413,APT 9,4.75,2440,26843.51,17
414,APT 9,5.25,4294,35851.13,29
415,APT 9,5.25,3644,50287.77,75
416,APT 9,5.25,4347,49803.26,21
417,APT 9,5.25,8017,77270.62,64
418,APT 9,5.25,5376,74036.4,53
419,APT 9,5.25,4285,33117.28,63
420,APT 9,5.25,5144,32595.34,25
421,APT 9,5.25,6768,48998.92,28
422,APT 9,5.25,6590,68876.78,93
423,APT 9,4.75,8166,30879.91,15
424,APT 9,5.25,9413,66575.67,27
425,APT 9,5.25,4712,70235.43,67
426,APT 9,5.25,3880,45324.52,79
427,APT 9,5.25,2745,51125.29,36
428,APT 9,5.25,5553,55030.88,98
429,APT 9,5.25,7234,52980.07,81
430,APT 9,5.25,7120,47701.49,85
431,APT 9,5.25,1056,78819.65,33
432,APT 9,5.25,2251,41053,27
433,APT 9,5.25,4422,67265.94,96
434,APT 9,5.25,3168,53051.86,41
435,APT 9,5.25,6640,56646.6,88
436,APT 9,5.25,9651,34571.29,10
437,APT 9,4.75,1643,27902.88,20
438,APT 9,5.25,2917,27496.08,18
439,APT 9,5.25,8742,45237.39,67
440,APT 9,5.25,6996,47929.1,4
441,APT 9,5.25,7883,46235.76,93
442,APT 9,5.25,4209,38667.17,84
443,APT 9,5.25,5512,54538.46,28
444,APT 9,5.25,8867,26604.98,94
445,APT 9,5.25,2897,25310.59,76
446,APT 9,5.25,4648,45775.92,2
447,APT 9,4.75,9437,25918.98,55
449,APT 9,4.75,8550,22260.12,83
450,APT 9,5.25,2739,48586.89,59
451,APT 9,5.25,2409,36110.62,75
452,APT 9,4.75,8773,28014.33,86
453,APT 9,5.25,4720,40590.73,14
454,APT 9,5.25,6609,58040.42,8
455,APT 9,5.25,3089,30620.9,44
456,APT 9,5.25,3835,30797.07,5
457,APT 9,5.25,9090,46817.38,26
458,APT 9,5.25,6494,68990.12,36
459,APT 9,5.25,6309,63419.91,43
460,APT 9,5.25,6445,70801.21,32
461,APT 9,5.25,2106,80169.64,51
462,APT 9,5.25,1818,54511.99,48
463,APT 9,5.25,9210,49319.24,86
464,APT 9,5.25,9935,49258.99,98
465,APT 9,5.25,8481,27582.64,73
466,APT 9,5.25,3921,27614.52,69
467,APT 9,5.25,4641,40548.15,63
468,APT 9,5.25,6314,49525,24
469,APT 9,5.25,1335,65952.65,57
470,APT 9,5.25,4214,50206.76,74
471,APT 9,5.25,9045,48108.93,10
472,APT 9,5.25,2382,59204.48,33
473,APT 9,5.25,2187,53221.34,11
474,APT 9,5.25,5182,43507.32,12
475,APT 9,5.25,2527,41266.61,53
476,APT 9,5.25,8604,54623.9,8
477,APT 9,5.25,1584,32494.67,77
478,APT 9,5.25,3338,59801.05,96
479,APT 9,5.25,6859,63183.04,33
480,APT 9,5.25,8655,37777.95,77
481,APT 9,5.25,3657,41100.62,90
482,APT 9,5.25,9029,40399.41,91
483,APT 9,5.25,5686,32631.76,55
484,APT 9,5.25,7225,38259.15,74
485,APT 9,5.25,8943,49743.6,40
486,APT 9,5.25,6267,43401.95,9
487,APT 9,5.25,6951,46331.03,31
488,APT 9,5.25,4136,52750.33,81
489,APT 9,5.25,8216,59558.91,98
490,APT 9,5.25,3492,44812.39,87
491,APT 9,5.25,2170,44105.42,89
492,APT 9,5.25,5378,41187.82,59
493,APT 9,5.25,2527,37774.88,90
494,APT 9,5.25,4769,40768.64,87
495,APT 9,5.25,4967,59781.75,83
496,APT 9,5.25,8078,50490.79,60
500,APT 9,5.25,2642,53886.19,31
501,APT 9,5.25,9118,59221.35,36
502,APT 9,5.25,7901,73740.17,61
503,APT 9,5.25,5808,75857.93,100
504,APT 9,5.25,4732,86861.63,51
505,APT 9,5.25,6732,48646.65,38
506,APT 9,5.25,6687,51123.12,61
507,APT 9,4.75,1345,29873.48,19
508,APT 9,4.75,7936,25915.67,18
509,APT 9,5.25,9978,28378.28,63
510,APT 9,5.25,8385,44899.55,29
511,APT 9,5.25,6325,42420,55
512,APT 9,5.25,7904,85145.67,69
513,APT 9,5.25,3394,66552.46,51
514,APT 9,5.25,6476,54498.73,43
515,APT 9,5.25,2103,44222.94,16
516,APT 9,5.25,7607,43927.63,20
517,APT 9,5.25,8768,30112.83,92
518,APT 9,5.25,3846,43070.43,93
519,APT 9,5.25,3558,73152.77,52
520,APT 9,5.25,8767,49812.73,79
521,APT 9,5.25,9851,39027.7,21
522,APT 9,5.25,8628,49502.47,22
523,APT 9,5.25,7356,50138.9,35
524,APT 9,5.25,4699,57380.4,97
525,APT 9,5.25,6992,68310.21,47
526,APT 9,5.25,7831,48901.18,79
527,APT 9,5.25,6016,38556.15,2
528,APT 9,5.25,4063,58641.46,95
529,APT 9,5.25,6997,58276.13,4
530,APT 9,5.25,7298,75451.69,95
531,APT 9,5.25,1612,54105.11,33
532,APT 9,5.25,6475,69226.75,78
533,APT 9,5.25,3750,75369.56,68
534,APT 9,5.25,2000,58907.25,33
535,APT 9,5.25,9710,25199.79,47
536,APT 9,5.25,4448,56057.53,94
537,APT 9,5.25,3782,57868.92,54
538,APT 9,5.25,7762,57272.82,43
539,APT 9,5.25,1831,57197.06,8
540,APT 9,5.25,5471,33634.78,17
541,APT 9,5.25,2006,72972.24,75
542,APT 9,5.25,8135,42415,22
543,APT 9,5.25,5721,90312.71,29
544,APT 9,4.75,9589,29312.32,70
545,APT 9,5.25,5100,46128.66,79
546,APT 9,5.25,7672,49054.22,64
547,APT 9,5.25,6799,72772.95,34
548,APT 9,5.25,9817,29832.56,75
549,APT 9,5.25,9178,50212.48,46
550,APT 9,5.25,4784,26886.77,55
551,APT 9,5.25,9731,67439.95,24
552,APT 9,4.75,2538,31051.21,20
553,APT 9,4.75,9773,26588.63,95
554,APT 9,5.25,1620,49221.47,10
555,APT 9,5.25,4190,44770.41,58
556,APT 9,5.25,4057,24856.98,79
557,APT 9,5.25,7377,24890.39,75
558,APT 9,5.25,7358,84366.21,30
559,APT 9,5.25,5882,55517.83,83
560,APT 9,5.25,1701,23610.08,3
562,APT 9,5.25,4268,69925.91,24
563,APT 9,5.25,3243,32735.26,87
564,APT 9,4.75,9913,26400.62,47
565,APT 9,4.75,2644,24972.79,62
567,APT 9,4.75,9721,36524.25,10
568,APT 9,4.75,7744,26930.31,31
569,APT 9,5.25,6757,45392.99,78
570,APT 9,5.25,5999,38017.68,4
571,APT 9,5.25,7091,28787.25,42
574,APT 9,5.25,3634,94651.1,4
575,APT 9,5.25,2275,40860.3,87
576,APT 9,5.25,9302,54618.32,4
577,APT 9,5.25,3441,47183.91,33
579,APT 9,5.25,9199,67330.99,36
580,APT 9,5.25,5503,84914.63,42
581,APT 9,5.25,8569,46309.59,24
583,APT 9,5.25,2371,63193.07,62
584,APT 9,5.25,8492,61651.09,69
585,APT 9,5.25,3120,60075.06,43
586,APT 9,5.25,2313,47012.06,30
587,APT 9,5.25,9543,41054.17,90
588,APT 9,5.25,4246,50711.26,40
589,APT 9,5.25,8325,48389.49,2
590,APT 9,5.25,5014,30666.04,20
591,APT 9,5.25,1138,33587.97,40
592,APT 9,5.25,7830,30086.45,4
593,APT 9,5.25,6650,34994.83,51
595,APT 9,5.25,5479,60722.84,12
596,APT 9,5.25,2236,54126.36,36
598,APT 9,4.75,5812,27837.57,10
599,APT 9,5.25,3021,41067.57,76
600,APT 9,4.75,1831,30347.81,27
601,APT 9,5.25,6516,52666.06,3
602,APT 9,5.25,2371,40185.65,89
603,APT 9,5.25,3890,30675.45,48
604,APT 9,5.25,5964,53111.55,45
605,APT 9,5.25,9957,53495.97,25
606,APT 9,4.75,2946,36362.44,26
607,APT 9,5.25,6539,53257.39,53
608,APT 9,5.25,1131,48079.82,68
609,APT 9,5.25,9988,54861.51,88
610,APT 9,5.25,6434,44333.74,26
611,APT 9,5.25,6619,48113.79,13
612,APT 9,5.25,8539,59612.63,7
613,APT 9,5.25,4703,56014.71,30
614,APT 9,5.25,4251,65488.75,47
615,APT 9,5.25,2854,49366.87,48
616,APT 9,5.25,5541,38730.42,36
618,APT 9,4.75,9948,36171.92,26
619,APT 9,5.25,5310,47621.98,56
620,APT 9,4.75,4877,35031.14,91
621,APT 9,5.25,1374,45891.4,23
622,APT 9,5.25,8627,52845.66,47
623,APT 9,5.25,9618,87991.25,20
624,APT 9,5.25,9055,67645.39,34
625,APT 9,5.25,6134,73545.89,73
626,APT 9,5.25,5344,53606.81,80
627,APT 9,5.25,2337,48203.78,90
630,APT 9,5.25,2585,35634.3,7
631,APT 9,5.25,8779,77606.26,53
632,APT 9,4.75,6892,51134.79,21
633,APT 9,5.25,9781,58273.25,80
634,APT 9,5.25,4046,41986.13,100
636,APT 9,5.25,3888,73268.12,51
638,APT 9,5.25,6970,50284.82,78
639,APT 9,5.25,9464,102391.27,4
640,APT 9,5.25,8998,51127.52,77
641,APT 9,5.25,8831,49129.57,73
642,APT 9,5.25,7444,62183.83,20
643,APT 9,5.25,8168,47873.44,86
644,APT 9,5.25,6296,40081.3,40
645,APT 9,5.25,9475,44288.52,65
646,APT 9,5.25,5958,51980.19,79
647,APT 9,5.25,5251,62176.73,71
648,APT 9,5.25,6079,32028.06,97
649,APT 9,5.25,1820,42665.3,62
650,APT 9,5.25,3637,51130.9,55
652,APT 9,5.25,2514,81655.2,15
653,APT 9,5.25,9183,49492.01,1
654,APT 9,5.25,9550,47694.98,27
655,APT 9,5.25,4180,36135.35,90
656,APT 9,5.25,1366,61257.47,13
657,APT 9,5.25,1646,27853.7,1
658,APT 9,5.25,2964,35466.25,68
659,APT 9,4.75,2734,31243.53,77
660,APT 9,5.25,6450,50569.99,15
661,APT 9,5.25,4363,55905.47,19
662,APT 9,5.25,7020,44963.85,15
663,APT 9,4.75,7371,53758.52,34
664,APT 9,5.25,1878,47897.26,29
665,APT 9,5.25,3311,34659.11,97
667,APT 9,5.25,4562,57943.59,34
668,APT 9,5.25,2065,54421.44,42
669,APT 9,5.25,8061,55321.26,73
671,APT 9,5.25,2079,45918.9,65
672,APT 9,5.25,7833,79017.18,83
673,APT 9,5.25,7129,35014.73,35
674,APT 9,5.25,6383,65288.73,22
675,APT 9,5.25,9718,36130.96,87
677,APT 9,5.25,1854,46426.01,66
678,APT 9,5.25,4174,40366.78,52
679,APT 9,5.25,8002,51764.22,4
680,APT 9,4.75,1059,54463.13,39
681,APT 9,5.25,6873,59281.15,28
682,APT 9,4.75,7044,26759.19,5
683,APT 9,4.25,4910,28225.55,76
685,APT 9,5.25,6126,43055.13,69
686,APT 9,5.25,2540,72637.82,94
687,APT 9,5.25,1696,32950.89,42
688,APT 9,5.25,9734,57891.73,73
689,APT 9,5.25,8178,65818.97,93
690,APT 9,5.25,7301,57961.65,76
691,APT 9,5.25,3019,64093.66,86
692,APT 9,5.25,6004,88469.51,19
693,APT 9,5.25,5941,34991.87,75
694,APT 9,5.25,3513,75050.58,95
695,APT 9,4.75,9517,47767.97,4
696,APT 9,5.25,6015,32384.44,95
697,APT 9,5.25,5801,40889.99,48
698,APT 9,5.25,4470,45469.22,45
699,APT 9,5.25,5259,44617.9,31
700,APT 9,5.25,3935,50228.24,37
701,APT 9,5.25,2573,48481.29,12
702,APT 9,5.25,8684,78492.79,80
703,APT 9,5.25,5990,46311.7,10
704,APT 9,5.25,9231,38536.62,94
705,APT 9,4.25,1180,32247.86,98
706,APT 9,5.25,1853,31180.52,14
707,APT 9,5.25,7959,53438.26,91
708,APT 9,4.75,5884,34551.7,39
709,APT 9,5.25,9004,42818.2,37
710,APT 9,5.25,3526,50297.44,73
711,APT 9,5.25,9957,78415.51,79
712,APT 9,5.25,1281,81931.8,36
713,APT 9,5.25,3543,43538.8,19
714,APT 9,4.25,9172,35271.9,69
715,APT 9,4.75,1021,48911.26,42
716,APT 9,5.25,2906,44065.18,82
717,APT 9,5.25,7749,47659.18,67
718,APT 9,5.25,3343,30534.51,61
719,APT 9,5.25,1634,40307.16,27
720,APT 9,5.25,6589,40105.52,22
721,APT 9,5.25,5617,35299.26,21
722,APT 9,5.25,5347,58531.94,25
723,APT 9,5.25,4037,39859.19,4
724,APT 9,5.25,6611,57925.1,65
725,APT 9,5.25,6603,48574.56,16
726,APT 9,4.75,9448,23284.09,33
727,APT 9,4.75,4151,32064.07,31
728,APT 9,4.75,4980,20398.96,24
729,APT 9,5.25,6642,50585.03,83
730,APT 9,5.25,8005,50942.18,56
731,APT 9,5.25,6904,82476.48,83
732,APT 9,5.25,5697,39439.07,10
733,APT 9,5.25,3701,94584.5,79
734,APT 9,5.25,7781,81068.31,58
735,APT 9,5.25,6617,60543.7,25
736,APT 9,5.25,4058,31835.48,95
737,APT 9,4.75,3692,30669.25,35
738,APT 9,5.25,9924,32489.86,74
739,APT 9,5.25,3946,27368.61,90
740,APT 9,5.25,7779,60689.78,64
741,APT 9,5.25,2599,52784,97
742,APT 9,5.25,3232,54007.42,67
743,APT 9,5.25,9552,59811.74,9
744,APT 9,5.25,1472,33054.57,37
745,APT 9,5.25,3528,51708.3,57
746,APT 9,5.25,5400,60734.59,90
747,APT 9,5.25,7661,59306.43,3
748,APT 9,5.25,1773,32236.22,7
749,APT 9,5.25,5440,47240.35,2
752,APT 9,4.75,3145,36980.71,54
753,APT 9,5.25,7182,46838.62,65
755,APT 9,5.25,4114,44326.02,92
756,APT 9,5.25,2534,71620.4,41
757,APT 9,4.75,7745,56489.77,77
758,APT 9,4.75,5850,39061.83,45
759,APT 9,4.25,9173,25733.27,39
760,APT 9,4.75,9860,38821.33,2
761,APT 9,4.75,8771,35167.94,23
762,APT 9,4.25,6626,27504.8,61
763,APT 9,4.75,7239,36159.75,5
765,APT 9,5.25,8315,55070.2,25
766,APT 9,5.25,1765,67406.77,74
767,APT 9,5.25,8053,64659.39,32
768,APT 9,5.25,8541,49765.65,46
769,APT 9,5.25,2717,74090.7,100
770,APT 9,5.25,4178,57804.93,49
