"Store","Climate","VSG","Product","Space","Sales","Units","Profit","Recommended_Space","Estimated_Sales","Estimated_Profit","Estimated_Units","Lower_Limit","Upper_Limit"
1003,"COLD","ST","KNIT TOPS",11.49455589,4818.66,428,2520.803,11.49455589,4818.66000016802,2520.80300017808,427.999999972934,7,20.25
1003,"COLD","ST","SKIRTS",3.08195328,712.97,32,468.789,3.08195328,712.969999911778,468.788999935555,32.0000000051922,1.25,6
1003,"COLD","ST","SWEATERS",3.08195328,1403.47,70,739.953,3.08195328,1403.47000004962,739.953000123915,70.0000000104701,1.25,6
1003,"COLD","ST","WOVEN TOPS",3.733180678,2406.37,155,1364.457,3.733180678,2406.37000005727,1364.45699960915,155.000000038333,1.75,7.75
1004,"COLD","ST","CAPRIS",0.81047619,764.27,31,408.952,0.81047619,764.270000265039,408.951999928916,31.000000007721,0,2.75
1004,"COLD","ST","CAREER LONG BTMS",2.519047619,2106.43,88,1031.799,2.519047619,2106.43000015217,1031.79900042529,87.9999999534315,1,4.5
1004,"COLD","ST","DENIM LONG BTMS",1.52375,547.84,27,187.578,1.52375,547.839999940076,187.577999962564,26.9999999942463,0,4.25
1004,"COLD","ST","DRESSES",0.811845238,1247.05,45,718.311,0.811845238,1247.04999924519,718.311000235498,44.9999999840347,0.5,4.5
1004,"COLD","ST","JACKETS",0.59827381,1034.07,31,504.72,0.59827381,1034.06999989664,504.720000093579,30.9999999817473,0,1.5
1004,"COLD","ST","KNIT BOTTOMS",10.73744048,199.98,16,94.294,10.73744048,199.979999973224,94.2940000249485,16.0000000039827,7,15
1004,"COLD","ST","KNIT TOPS",10.73744048,5677.01,536,2967.635,10.73744048,5677.01000015923,2967.63499964367,536.000000024308,7,20.25
1004,"COLD","ST","SKIRTS",3.298035714,562.13,27,360.171,3.298035714,562.130000015724,360.171000000743,26.999999997426,1.25,6
1004,"COLD","ST","SWEATERS",3.298035714,1800.29,89,952.06,3.298035714,1800.28999978294,952.059999949007,89.0000000386597,1.25,6
1004,"COLD","ST","WOVEN TOPS",3.391130952,2952.23,195,1585.832,3.391130952,2952.23000036941,1585.83199976048,194.999999961203,1.5,7.75
1005,"COLD","ST","CAPRIS",0.759711833,192.33,8,96.668,0.759711833,192.330000024289,96.6680000090484,7.99999999947554,0,2.75
1005,"COLD","ST","CAREER LONG BTMS",2.152270999,1411.29,61,673.782,2.152270999,1411.29000023427,673.781999954928,61.0000000083784,1,4.5
1005,"COLD","ST","DENIM LONG BTMS",0.764137339,965.71,42,406.436,0.764137339,965.710000005127,406.435999856152,42.0000000078958,0.25,4.25
1005,"COLD","ST","DRESSES",1.560728387,1271.67,50,691.783,1.560728387,1271.66999956148,691.783000063081,49.9999999992273,0.5,4.5
1005,"COLD","ST","JACKETS",0.463202943,1288.7,43,574.588,0.463202943,1288.70000064223,574.587999960164,42.9999999979913,0,1.75
1005,"COLD","ST","KNIT BOTTOMS",11.13014715,87.2,4,51.929,11.13014715,87.2000000031396,51.9289999985525,4.00000000047664,7,15.5
1005,"COLD","ST","KNIT TOPS",11.13014715,4568.8,402,2503.957,11.13014715,4568.80000006977,2503.95700033164,401.999999980733,7,20.25
1005,"COLD","ST","SKIRTS",3.481397915,464.64,21,303.154,3.481397915,464.64000006597,303.154000056106,21.0000000027266,1.25,6
1005,"COLD","ST","SWEATERS",3.481397915,1169.4,60,602.959,3.481397915,1169.40000015828,602.959000142537,59.9999999964608,1.25,6
1005,"COLD","ST","WOVEN TOPS",3.748403433,2405.29,149,1307.488,3.748403433,2405.28999975366,1307.48799967864,149.000000028881,1.75,8
1006,"COLD","ST","CAPRIS",0.83483447,430.1,18,226.204,0.83483447,430.099999871289,226.203999918236,18.0000000046091,0,3
1006,"COLD","ST","CAREER LONG BTMS",2.424279078,1595.95,66,811.59,2.424279078,1595.94999957947,811.590000090853,65.9999999797939,1.25,4.75
1006,"COLD","ST","DENIM LONG BTMS",2.960779308,1319.54,62,501.605,2.960779308,1319.53999986689,501.605000014285,62.0000000034392,0.25,5
1006,"COLD","ST","DRESSES",0.864918595,1177.61,48,628.061,0.864918595,1177.60999978521,628.060999789434,48.0000000043547,0.5,4.5
1006,"COLD","ST","JACKETS",1.066732934,806.22,27,328.123,1.066732934,806.220000041664,328.123000044954,27.0000000005777,0,2
1006,"COLD","ST","KNIT BOTTOMS",14.11446867,570.38,44,271.986,14.11446867,570.380000042573,271.986000033882,43.9999999979491,8.75,19
1006,"COLD","ST","KNIT TOPS",14.11446867,6584.09,579,3531.37,14.11446867,6584.09000033248,3531.36999958721,578.999999965678,8.75,20.25
1006,"COLD","ST","SKIRTS",3.499786548,697.82,31,455.228,3.499786548,697.820000008096,455.227999980943,31.000000001183,1.5,6
1006,"COLD","ST","SWEATERS",3.499786548,2319.84,111,1264.912,3.499786548,2319.84000039406,1264.91199991809,110.999999965264,1.5,6
1006,"COLD","ST","WOVEN TOPS",4.179186373,4012.98,258,2200.566,4.179186373,4012.98000043242,2200.56599984397,258.000000006202,2,8
1007,"COLD","ST","CAPRIS",0.820954598,372.31,15,202.292,0.820954598,372.310000026754,202.292000015767,15.0000000022578,0,2
1007,"COLD","ST","CAREER LONG BTMS",1.48798021,477.09,20,231.214,1.48798021,477.090000070586,231.214000005341,19.9999999991156,0.5,3.25
1007,"COLD","ST","DENIM LONG BTMS",1.309422584,609.4,23,301.594,1.309422584,609.40000000491,301.593999934369,23.0000000029162,0,3
1007,"COLD","ST","DRESSES",1.167807916,945.71,39,524.647,1.167807916,945.709999801069,524.64699989616,38.9999999951296,0.25,3.25
1007,"COLD","ST","JACKETS",0.320172293,177.3,5,90.908,0.320172293,177.300000065684,90.9080000139507,4.99999999862457,0,1.25
1007,"COLD","ST","KNIT BOTTOMS",7.84832596,304.15,22,153.768,7.84832596,304.149999996489,153.767999971329,22.000000002593,5,10.75
1007,"COLD","ST","KNIT TOPS",7.84832596,3835.9,332,2062.944,7.84832596,3835.90000037063,2062.94400021001,332.000000026265,5,14.75
1007,"COLD","ST","SKIRTS",1.682956927,650.84,31,433.25,1.682956927,650.839999899473,433.250000023835,31.0000000079829,0.75,4.25
1007,"COLD","ST","SWEATERS",1.682956927,267.54,14,110.592,1.682956927,267.540000038439,110.592000008509,13.9999999963472,0.75,4.25
1007,"COLD","ST","WOVEN TOPS",2.819979045,1495.16,104,760.51,2.819979045,1495.15999998067,760.510000120526,103.999999989664,1,5.5
1008,"COLD","ST","CAPRIS",0.52145449,151.45,6,81.953,0.52145449,151.450000076174,81.9529999898848,6.00000000482916,0,2
1008,"COLD","ST","CAREER LONG BTMS",1.66650404,653.25,28,306.085,1.66650404,653.250000110823,306.084999931298,28.0000000018705,0.75,3.25
1008,"COLD","ST","DENIM LONG BTMS",0.491887483,195.08,9,73.7,0.491887483,195.080000106889,73.7,8.99999999602022,0,3
1008,"COLD","ST","DRESSES",1.634249123,1050.75,39,546.076,1.634249123,1050.75000014688,546.076000015824,38.9999999985929,0.25,3.5
1008,"COLD","ST","JACKETS",0.335988718,348.48,11,162.55,0.335988718,348.479999961112,162.550000100319,10.9999999952795,0,1.25
1008,"COLD","ST","KNIT BOTTOMS",8.144366519,108.46,12,40.168,8.144366519,108.459999986762,40.1679999992614,12.0000000001914,5,11.25
1008,"COLD","ST","KNIT TOPS",8.144366519,1800.42,165,896.103,8.144366519,1800.42000014551,896.102999919344,165.000000014411,5,15.25
1008,"COLD","ST","SKIRTS",2.252468364,336.58,15,225.832,2.252468364,336.579999930438,225.832000015079,15.0000000018362,0.75,4.5
1008,"COLD","ST","SWEATERS",2.252468364,749.85,38,364.925,2.252468364,749.849999986804,364.925000009529,37.9999999951813,0.75,4.5
1008,"COLD","ST","WOVEN TOPS",2.583081262,790.76,53,413.61,2.583081262,790.76000022356,413.609999988023,52.9999999840573,1.25,5.75
1009,"COLD","ST","CAPRIS",1.00161516,543.45,22,298.05,1.00161516,543.450000099901,298.05000005692,22.0000000042848,0,2.75
1009,"COLD","ST","CAREER LONG BTMS",1.857671858,1523.17,60,808.372,1.857671858,1523.16999999571,808.371999810135,60.0000000148358,0.75,4.25
1009,"COLD","ST","DENIM LONG BTMS",1.148614795,586.46,21,305.751,1.148614795,586.459999870496,305.751000054866,20.9999999967265,0,4
1009,"COLD","ST","DRESSES",1.053497384,811.37,28,485.021,1.053497384,811.369999620064,485.02099999925,27.9999999949082,0.5,4.5
1009,"COLD","ST","JACKETS",0.312734518,682.51,22,288.768,0.312734518,682.509999793219,288.767999965621,22.0000000178942,0,1.5
1009,"COLD","ST","KNIT BOTTOMS",10.46435637,236.44,22,111.777,10.46435637,236.439999946571,111.776999944504,22.000000000344,6.75,14.75
1009,"COLD","ST","KNIT TOPS",10.46435637,3442.59,278,1898.825,10.46435637,3442.59000067929,1898.82499981268,277.999999907122,6.75,20.25
1009,"COLD","ST","SKIRTS",3.342079937,673.33,30,457.798,3.342079937,673.330000101362,457.797999990844,30.0000000056061,1.25,6
1009,"COLD","ST","SWEATERS",3.342079937,1533.34,78,773.647,3.342079937,1533.3399999756,773.647000288128,78.0000000253887,1.25,6
1009,"COLD","ST","WOVEN TOPS",4.188048424,1642.98,103,904.773,4.188048424,1642.98000010985,904.773000041889,102.999999999572,1.5,7.5
101,"COLD","ST","CAPRIS",0.535320906,256.35,12,116.959,0.535320906,256.349999933977,116.958999943784,11.9999999971037,0,2.75
101,"COLD","ST","CAREER LONG BTMS",2.217423358,1385.08,64,601.502,2.217423358,1385.08000028941,601.501999987735,64.0000000046522,1,4.5
101,"COLD","ST","DENIM LONG BTMS",1.273290645,991.48,52,318.717,1.273290645,991.479999901034,318.717000045274,51.9999999912474,0.25,4.25
101,"COLD","ST","DRESSES",0.953503758,784.76,31,427.597,0.953503758,784.76,NA,31,0.5,4.5
101,"COLD","ST","JACKETS",0.521264339,940.14,35,338.58,0.521264339,940.139999843687,338.579999912609,34.9999999878816,0,1.5
101,"COLD","ST","KNIT BOTTOMS",10.92898042,884.57,74,396.834,10.92898042,884.570000055516,396.834000017542,73.9999999969148,7,15
101,"COLD","ST","KNIT TOPS",10.92898042,6343.25,623,3069.828,10.92898042,6343.2499997097,3069.82800008343,622.999999990871,7,20.25
101,"COLD","ST","SKIRTS",3.285722409,638.2,34,393.327,3.285722409,638.200000021064,393.326999963029,34.0000000029679,1.25,6
101,"COLD","ST","SWEATERS",3.285722409,3127.17,168,1560.638,3.285722409,3127.17000014801,1560.63800041266,168.000000009785,1.25,6
101,"COLD","ST","WOVEN TOPS",3.974494165,3263.93,231,1661.349,3.974494165,3263.93000041565,1661.34899986339,231.000000026591,1.5,7.75
1010,"COLD","ST","CAPRIS",0.817253949,280.33,10,158.156,0.817253949,280.330000020287,158.155999970595,10.0000000031388,0,2.75
1010,"COLD","ST","CAREER LONG BTMS",1.940380721,1463.43,60,742.509,1.940380721,1463.43000004435,742.509000280424,60.0000000202723,1,4.5
1010,"COLD","ST","DENIM LONG BTMS",0.747158094,451.11,21,167.088,0.747158094,451.109999909104,167.088000009031,21.0000000038334,0.25,4.25
1010,"COLD","ST","DRESSES",1.304738761,919.02,33,550.732,1.304738761,919.020000087669,550.732000108885,32.9999999983513,0.5,4.5
1010,"COLD","ST","JACKETS",0.473147023,503.9,13,254.532,0.473147023,503.900000070559,254.531999922031,12.9999999964478,0,1.5
1010,"COLD","ST","KNIT BOTTOMS",11.38739031,415.23,34,183.161,11.38739031,415.229999963621,183.160999986804,34.0000000001413,7,15
1010,"COLD","ST","KNIT TOPS",11.38739031,5437.9,482,2856.078,11.38739031,5437.89999985444,2856.07800021439,482.000000028147,7,20.25
1010,"COLD","ST","SKIRTS",2.888267855,384.28,18,254.844,2.888267855,384.279999990555,254.844000005814,17.9999999948879,1.25,6
1010,"COLD","ST","SWEATERS",2.888267855,1640.63,83,823.83,2.888267855,1640.62999950083,823.830000090899,83.0000000193799,1.25,6
1010,"COLD","ST","WOVEN TOPS",4.035290941,1685.92,104,921.904,4.035290941,1685.92000005293,921.903999931884,104.000000023892,1.5,7.75
1011,"COLD","ST","CAPRIS",0.777976879,335.81,14,182.254,0.777976879,335.809999939364,182.25400002724,13.9999999983385,0,2
1011,"COLD","ST","CAREER LONG BTMS",1.680231214,828.81,30,468.495,1.680231214,828.810000041845,468.494999844321,30.0000000038236,0.75,3.25
1011,"COLD","ST","DENIM LONG BTMS",0.949479769,1150.82,48,488.057,0.949479769,1150.82000040957,488.056999846426,47.999999991232,0,3
1011,"COLD","ST","DRESSES",1.068786127,698.86,27,395.836,1.068786127,698.860000188332,395.83599997962,27.0000000074176,0.25,3.5
1011,"COLD","ST","JACKETS",0.479710983,181.69,6,76.215,0.479710983,181.6899999903,76.2150000168938,6.00000000049811,0,1.25
1011,"COLD","ST","KNIT BOTTOMS",8.57265896,332.21,29,147.572,8.57265896,332.210000000052,147.571999984783,28.999999998693,5,11.25
1011,"COLD","ST","KNIT TOPS",8.57265896,4010.45,325,2209.914,8.57265896,4010.44999998338,2209.91400004146,325.000000045824,5,15.25
1011,"COLD","ST","SKIRTS",1.797052023,408.79,21,266.747,1.797052023,408.790000001023,266.747000073076,20.9999999998394,0.75,4.5
1011,"COLD","ST","SWEATERS",1.797052023,738.86,33,416.139,1.797052023,738.860000046161,416.139000110906,33.0000000051157,0.75,4.5
1011,"COLD","ST","WOVEN TOPS",2.284219653,1501.24,96,860.67,2.284219653,1501.23999967354,860.669999941972,95.9999999986481,1.25,5.75
1012,"COLD","ST","CAPRIS",0.709558755,259.26,11,132.453,0.709558755,259.259999929659,132.453000005051,10.9999999972967,0,2
1012,"COLD","ST","CAREER LONG BTMS",1.585756309,728.18,32,335.172,1.585756309,728.180000042898,335.172000027048,32.0000000015728,0.75,3.25
1012,"COLD","ST","DENIM LONG BTMS",0.666555194,315.1,11,148.921,0.666555194,315.09999988709,148.920999978613,11.0000000000091,0,3
1012,"COLD","ST","DRESSES",0.927264282,961.43,37,524.724,0.927264282,961.429999770479,524.724000180007,36.9999999943208,0.25,3.5
1012,"COLD","ST","JACKETS",0.330589875,473.16,17,181.215,0.330589875,473.159999846707,181.214999927901,17.0000000069408,0,1.25
1012,"COLD","ST","KNIT BOTTOMS",8.342690819,252.8,24,115.184,8.342690819,252.800000015735,115.183999984199,23.9999999990255,5,11.25
1012,"COLD","ST","KNIT TOPS",8.342690819,2924.45,279,1497.49,8.342690819,2924.45000024572,1497.49000014113,278.999999999508,5,15.25
1012,"COLD","ST","SKIRTS",2.198557052,353.32,18,220.545,2.198557052,353.319999958095,220.544999998936,18.0000000024899,0.75,4.5
1012,"COLD","ST","SWEATERS",2.198557052,555.68,29,273.57,2.198557052,555.680000054071,273.569999853114,29.000000014384,0.75,4.5
1012,"COLD","ST","WOVEN TOPS",2.599027713,1493.05,100,802.08,2.599027713,1493.05000017881,802.079999949553,99.9999999934299,1.25,5.75
1013,"COLD","ST","CAPRIS",1.762230156,1216.27,57,554.29,1.762230156,1216.26999989126,554.290000055328,56.9999999964017,0,2.75
1013,"COLD","ST","CAREER LONG BTMS",2.464705839,1946.77,88,891.556,2.464705839,1946.77000000809,891.556000253293,87.9999999753913,0.75,4.25
1013,"COLD","ST","DENIM LONG BTMS",0.864718225,245.91,12,87.369,0.864718225,245.91000007271,87.3690000031334,12.0000000023539,0,4
1013,"COLD","ST","DRESSES",1.017467852,1388.7,56,762.486,1.017467852,1388.70000014953,762.485999743608,56.0000000105864,0.25,4.25
1013,"COLD","ST","JACKETS",0.522110306,1230.54,40,514.895,0.522110306,1230.54000007115,514.895000200128,40.0000000152106,0,1.5
1013,"COLD","ST","KNIT BOTTOMS",9.550735128,984.05,85,430.125,9.550735128,984.049999908092,430.125000022994,85.000000028839,6.75,14.5
1013,"COLD","ST","KNIT TOPS",9.550735128,8852.93,796,4782.149,9.550735128,8852.92999801626,4782.14899971481,796.000000294546,6.75,19.75
1013,"COLD","ST","SHORTS",0.751666242,775.96,35,428.363,0.751666242,775.960000300925,428.36299979874,34.9999999850372,0,1.25
1013,"COLD","ST","SKIRTS",2.931584642,951.81,44,631.366,2.931584642,951.810000135086,631.365999917375,43.9999999958646,1,5.75
1013,"COLD","ST","SWEATERS",2.931584642,3486.26,178,1837.349,2.931584642,3486.26000004541,1837.34900002798,177.999999976129,1,5.75
1013,"COLD","ST","WOVEN TOPS",3.824781611,5566.97,345,3143.371,3.824781611,5566.96999981676,3143.37100008811,344.999999993939,1.5,7.5
1014,"COLD","ST","CAPRIS",0.94378672,342.14,15,173.151,0.94378672,342.140000065254,173.150999956729,14.9999999997265,0,2.5
1014,"COLD","ST","CAREER LONG BTMS",2.356289068,1673.34,71,831.93,2.356289068,1673.33999997039,831.930000101899,71.0000000230156,0.75,4.25
1014,"COLD","ST","DENIM LONG BTMS",2.01627163,1042.76,41,477.394,2.01627163,1042.75999968633,477.394000044003,40.9999999936519,0,4
1014,"COLD","ST","DRESSES",1.118562039,914.25,35,505.33,1.118562039,914.249999931669,505.330000006584,34.9999999996346,0.25,4.25
1014,"COLD","ST","JACKETS",0.443293763,371.73,12,166.106,0.443293763,371.730000173297,166.106000042462,11.9999999938188,0,1.5
1014,"COLD","ST","KNIT BOTTOMS",9.190004024,313.9,30,140.556,9.190004024,313.900000007313,140.555999989648,30.0000000009214,6.5,14
1014,"COLD","ST","KNIT TOPS",9.190004024,3351.74,289,1844.229,9.190004024,3351.73999916045,1844.22900038284,288.999999974673,6.5,19.25
1014,"COLD","ST","SKIRTS",2.963236083,863.67,44,568.007,2.963236083,863.669999608905,568.007000046592,44.0000000052171,1,5.5
1014,"COLD","ST","SWEATERS",2.963236083,1139.07,57,581.229,2.963236083,1139.07000014299,581.229000152154,56.9999999983639,1,5.5
1014,"COLD","ST","WOVEN TOPS",4.280406439,1862.23,119,1024.115,4.280406439,1862.23000023318,1024.11499981391,119.000000017701,1.5,7.25
1015,"COLD","ST","CAPRIS",1.862138868,1615.36,72,784.475,1.862138868,1615.36000011558,784.475000146357,71.9999999957314,0,2.75
1015,"COLD","ST","CAREER LONG BTMS",2.446915811,1672.09,64,901.302,2.446915811,1672.08999993622,901.301999990986,63.9999999887677,0.75,4.25
1015,"COLD","ST","DENIM LONG BTMS",0.929435979,525.67,22,242.158,0.929435979,525.669999759172,242.157999976881,21.9999999987304,0,4
1015,"COLD","ST","DRESSES",1.408855064,2325.55,96,1232.922,1.408855064,2325.54999962349,1232.92199992035,96.0000000196832,0.25,4.25
1015,"COLD","ST","JACKETS",0.512904916,1309.79,44,510.44,0.512904916,1309.78999964215,510.440000009282,43.9999999763263,0,1.5
1015,"COLD","ST","KNIT BOTTOMS",9.250256499,535.35,43,254.945,9.250256499,535.349999983598,254.945000041117,43.0000000027661,6.5,14.25
1015,"COLD","ST","KNIT TOPS",9.250256499,7691.74,649,4168.004,9.250256499,7691.73999672658,4168.00399998773,648.999999967977,6.5,19.5
1015,"COLD","ST","SHORTS",0.6664497,376.25,18,198.72,0.6664497,376.25000002156,198.72000003723,18.0000000010885,0,1.25
1015,"COLD","ST","SKIRTS",2.876514514,1071.9,52,720.312,2.876514514,1071.89999996318,720.311999956107,51.9999999926435,1,5.75
1015,"COLD","ST","SWEATERS",2.876514514,2795.64,145,1465.331,2.876514514,2795.6399994271,1465.3309996637,144.999999985369,1,5.75
1015,"COLD","ST","WOVEN TOPS",3.736528649,4851.24,312,2696.494,3.736528649,4851.24000014238,2696.49400009681,311.999999974616,1.5,7.25
1016,"COLD","ST","CAPRIS",1.025383681,474.07,20,253.611,1.025383681,474.069999970025,253.611000068549,20.0000000027117,0,2.75
1016,"COLD","ST","CAREER LONG BTMS",2.201215396,1241.81,52,625.044,2.201215396,1241.81000033229,625.044000107359,52.000000002976,0.75,4.25
1016,"COLD","ST","DENIM LONG BTMS",1.621333171,520.89,21,240.349,1.621333171,520.889999985048,240.348999952364,20.9999999965777,0,4
1016,"COLD","ST","DRESSES",1.228415493,1712.29,63,984.554,1.228415493,1712.29000041335,984.554000078164,62.9999999873819,0.5,4.5
1016,"COLD","ST","JACKETS",0.407524284,396.88,14,167.205,0.407524284,396.880000074666,167.205000112124,13.9999999989907,0,1.5
1016,"COLD","ST","KNIT BOTTOMS",10.52113769,198.46,16,79.116,10.52113769,198.459999980595,79.1159999872778,15.9999999965024,6.75,14.75
1016,"COLD","ST","KNIT TOPS",10.52113769,2506.71,226,1331.457,10.52113769,2506.71000029033,1331.45700029402,226.000000067942,6.75,20.25
1016,"COLD","ST","SKIRTS",2.876040554,582.51,28,370.465,2.876040554,582.509999953265,370.465000025638,28.0000000010095,1.25,6
1016,"COLD","ST","SWEATERS",2.876040554,1177.77,64,597.722,2.876040554,1177.76999988449,597.722000132176,63.9999999869037,1.25,6
1016,"COLD","ST","WOVEN TOPS",3.860525741,2537.34,156,1380.526,3.860525741,2537.34000008141,1380.52599988044,156.000000030609,1.5,7.5
1017,"COLD","ST","CAPRIS",0.5847288,430.3,18,222.267,0.5847288,430.300000097599,222.266999914894,18.0000000004481,0,2.75
1017,"COLD","ST","CAREER LONG BTMS",2.21919328,1040.29,41,550.136,2.21919328,1040.29000006101,550.136000166437,40.9999999983253,1,4.5
1017,"COLD","ST","DENIM LONG BTMS",0.838053443,1291.88,56,528.971,0.838053443,1291.87999971118,528.971000082418,56.0000000000459,0.25,4.25
1017,"COLD","ST","DRESSES",1.205894706,382.76,16,212.034,1.205894706,382.759999985998,212.033999963187,16.0000000023423,0.5,4.5
1017,"COLD","ST","JACKETS",0.595139402,993.88,32,431.863,0.595139402,993.880000208495,431.862999824085,32.0000000077307,0,1.75
1017,"COLD","ST","KNIT BOTTOMS",11.00574118,426.55,38,187.773,11.00574118,426.549999986714,187.772999968615,38.0000000014727,7,15.25
1017,"COLD","ST","KNIT TOPS",11.00574118,4301.44,412,2315.484,11.00574118,4301.44000023238,2315.48400013943,411.999999962757,7,20.25
1017,"COLD","ST","SKIRTS",3.633300022,377.99,17,251.045,3.633300022,377.989999999605,251.045000025825,16.9999999971609,1.25,6
1017,"COLD","ST","SWEATERS",3.633300022,1298.79,68,661.868,3.633300022,1298.78999989765,661.867999758554,67.9999999786512,1.25,6
1017,"COLD","ST","WOVEN TOPS",3.874478963,2338.39,156,1263.862,3.874478963,2338.38999991462,1263.86200000439,156.000000024873,1.75,8
1018,"COLD","ST","CAPRIS",0.807396192,242.7,10,130.041,0.807396192,242.69999993521,130.041000023101,10.0000000004853,0,2.75
1018,"COLD","ST","CAREER LONG BTMS",2.112595779,1618.99,61,885.038,2.112595779,1618.99000007216,885.037999726271,61.0000000168104,1,4.5
1018,"COLD","ST","DENIM LONG BTMS",1.307927277,1266.89,54,534.044,1.307927277,1266.89000015552,534.044000079263,54.0000000093931,0.25,4.25
1018,"COLD","ST","DRESSES",0.92059532,1047.07,35,627.204,0.92059532,1047.06999967346,627.203999922707,34.9999999925757,0.5,4.5
1018,"COLD","ST","JACKETS",0.537354898,575.61,19,258.88,0.537354898,575.610000376087,258.880000106075,19.0000000010119,0,1.5
1018,"COLD","ST","KNIT BOTTOMS",11.40447121,405.12,43,174.374,11.40447121,405.119999991128,174.37400000139,43.0000000008007,7,15.25
1018,"COLD","ST","KNIT TOPS",11.40447121,5823.56,535,3160.608,11.40447121,5823.56000040795,3160.60800000901,534.99999999441,7,20.25
1018,"COLD","ST","SKIRTS",2.954088094,231.57,10,150.687,2.954088094,231.569999995783,150.687000036181,9.99999999675414,1.25,6
1018,"COLD","ST","SWEATERS",2.954088094,1469.48,72,759.53,2.954088094,1469.4800001578,759.530000292493,71.999999964488,1.25,6
1018,"COLD","ST","WOVEN TOPS",3.735571232,2666.54,171,1422.191,3.735571232,2666.54000041239,1422.19100029538,171.000000011283,1.75,7.75
1019,"COLD","ST","CAPRIS",0.986387596,523.39,21,275.798,0.986387596,523.390000136848,275.79800011372,21.0000000074446,0,3
1019,"COLD","ST","CAREER LONG BTMS",2.257398715,3049.03,128,1511.091,2.257398715,3049.02999971037,1511.09100008355,127.999999997077,1.25,4.75
