,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
10,19,10969.94,17614,33180,1208,677,1654,5034.501,0.458936056,336,2296.55,3360,4016,151,120,132,791.8,0.344778037,14,2760.23,5412,5398,127,138,137,1286.53,0.466095217,15,3956.98,6136,9542,349,236,367,1340.546,0.33878008,22,8850.45,4650,24762,451,160,858,5196.81,0.587180313,159,3380.38,4986,12522,210,157,443,1482.79,0.438645951,81,2970.42,6282,12376,321,250,547,1487.791,0.500868901,109,3234.12,2738,11720,393,129,550,865.37,0.267575105,104,-147.18,34,0,-9,1,0,-30.48,0.207093355,15,1846.88,0,10548,116,0,360,841.158,0.455448107,58,22791.65,13980,83032,3704,775,4681,10848.651,0.475992348,278,7873.31,7100,30514,914,355,1433,3794.367,0.481927804,173,4426.64,3759,16913.2,324,121,535,1103.18,0.249213851,77,2257.23,0,11480,68,0,130,1130.52,0.500843955,15,1018.61,0,3916,107,0,153,383.36,0.376356015,27
11,25,16803.06,23042,44357,1786,966,2193,7897.225,0.469987312,347,10821.96,7280,21148,710,260,717,3606.7,0.333276042,23,10413.92,3938,21822.8,479,101,572,5076.13,0.487437007,25,8882.63,3484,18798,720,134,723,3477.674,0.391514,25,18106.18,8894,38646,898,283,1318,10720.16,0.592071878,167,4887.87,6046,20310,307,189,753,2197.36,0.449553691,71,7326.25,7460,18634,773,294,860,3868.909,0.528088586,133,6427.03,4526,18668,713,205,856,2081.03,0.323793416,111,6861.67,8084,21562,609,281,808,2193.87,0.319728288,99,4609.03,0,9176,293,0,325,2155.717,0.467715984,54,25561.23,22356,81372,4009,1243,4714,13059.621,0.510915202,271,15551.79,9400,44274,1793,470,2103,7664.577,0.49284211,173,4642.05,4504.5,16123.2,339,147,505,1174.55,0.253023987,80,5248.37,0,20900,163,0,246,2467.87,0.470216467,16,2050.49,0,6164,197,0,242,910.54,0.444059713,25
12,31,17922.12,19520,50285,1977,770,2539,8454.542,0.47173783,369,4659.99,4732,9872,305,169,340,1478.74,0.317326861,17,6100.27,3138,14044.8,292,79,376,2894.71,0.47452162,19,5511.43,3380,15782,469,130,607,1954.672,0.354657866,24,34768.69,20152,76296,1751,645,2579,20274.39,0.583122056,232,5368.75,5010,14646,338,157,526,2379.09,0.443136671,74,5251.15,5994,15956,573,245,727,2709.776,0.516034773,113,10963.35,4476,33404,1306,209,1569,3080.91,0.281019032,124,9268.42,7058,37774,842,239,1379,2711.71,0.292575218,101,4817.67,30,14292,343,1,486,2038.47,0.423123626,59,26854.52,23738,98396,4320,1321,5705,13523.005,0.503565322,278,14603.6,11140,45736,1690,557,2166,7192.552,0.492519105,176,6433.46,5846,23014.1,475,203,738,1618.86,0.251631315,93,4084.16,0,14600,116,0,172,2126.41,0.520648065,19,1536.83,0,4580,153,0,180,648.13,0.421731747,25
13,32,18751.06,27106,47059,2030,1213,2481,8884.536,0.473815134,392,2238.36,528,10444,160,17,354,831.11,0.371303097,17,9403.97,6280,24476.8,439,167,638,4576.15,0.486618949,30,10707.11,4108,23530,882,158,905,4135.572,0.386245401,25,12004.72,3410,31944,633,142,1138,7104.88,0.591840543,162,514.88,1754,672,39,73,30,245.33,0.476479956,16,4287.76,6654,14134,500,287,688,2294.304,0.535082187,93,8277.05,3358,24060,958,158,1138,2500.38,0.302085888,118,7406.34,7218,25100,640,251,933,2291.09,0.309341726,93,7585.15,9188,18454.8,501,303,655,3744.695,0.493687666,110,24880.06,20700,77559.2,3937,1213,4575,12843.332,0.516209848,283,11173.1,5780,36586,1291,289,1732,5597.94,0.501019413,167,8498.32,7700,27603.4,630,268,926,2384.37,0.280569571,88,2420.51,0,8678,111,0,149,1148.21,0.474366972,15,1449.43,24,4008,139,1,157,660.73,0.45585506,26
14,33,16665.84,28088,50188,1785,1183,2391,7523.162,0.45141211,393,2980.2,4284,3656,197,153,124,942.2,0.316153278,18,2257.39,4694,7180.8,109,121,191,1052.94,0.466441333,20,3557.21,5278,9230,309,203,355,1249.886,0.351366942,23,13175.47,7556,28438,650,252,986,7814.26,0.593091556,159,5290.99,5418,12196,343,175,442,2207.89,0.417292416,68,4462.5,8150,12744,491,310,571,2144.193,0.480491429,115,6757.73,3850,20022,840,187,935,1682.17,0.248925305,133,5417.63,4322,23064,520,154,864,1443.25,0.266398776,103,2510.67,0,10368,179,0,354,1006.92,0.401056292,60,21063.47,21036,81404,3556,1166,4707,9918.277,0.470875739,279,12189.63,9358,38586,1481,468,1827,5569.153,0.456876296,175,5920.72,5158,28881.5,450,163,923,1510.73,0.255159845,84,1912.98,540,9470,67,6,113,832.23,0.435043754,14,1557.83,-24,5512,162,-1,217,631.58,0.405422928,28
15,34,15703,24842,35334,1724,1025,1877,7144.933,0.45500433,396,1016.9,832,3168,74,26,99,401.9,0.395220769,10,10557.63,9850,20776.8,469,241,539,5216.59,0.494106158,34,6238.69,6422,12454,511,247,479,2479.862,0.397497231,23,5758.81,5218,23604,279,207,857,3341.16,0.580182364,150,-24.46,32,0,-2,1,0,-8.96,0.366312347,3,2325.8,5756,9038,258,245,429,1159.318,0.498459885,91,4787.03,4010,15032,562,187,690,1202.22,0.251141104,104,-9.97,38,0,-1,1,0,7.23,-0.725175527,3,13091.89,7796,33382,888,255,1197,6245.071,0.477018291,134,16699.07,10296,53468,2694,568,3209,8423.996,0.504458991,273,9699.59,3440,31444,1144,170,1500,4794.963,0.494346978,167,78.87,516,0,11,19,0,-9,-0.11411183,8,2196.58,0,6624,112,0,117,979.58,0.445956897,11,1395.78,0,5648,137,0,222,576.68,0.413159667,23
16,35,16026.88,21794,46284,1751,938,2359,7369.302,0.459808896,360,3234.09,1792,7532,215,64,262,1005.09,0.310779848,18,5139.62,4206,11884.8,258,108,319,2328.36,0.453021819,20,4665.77,3692,14170,414,142,545,1535.532,0.329105807,23,23850.56,13174,38244,1178,428,1343,14099.43,0.591157189,161,6091.51,5358,16562,362,166,586,2746.76,0.450916111,83,4869.37,6420,13386,542,257,605,2425.461,0.49810571,113,9679.41,3646,33274,1184,168,1556,2535.77,0.261975678,125,8483.9,5650,35418,798,198,1328,2386.62,0.281311661,96,2476.64,0,10368,185,0,354,1132.32,0.457200078,60,26128.11,20460,99892,4167,1145,5765,13165.883,0.503897259,276,11110.65,7560,44380,1349,378,2094,5091.282,0.458234397,172,3733.83,4116,13777,262,130,426,994.58,0.26636992,72,2592.88,0,12320,80,0,146,1274.39,0.491495943,16,1969.6,0,6582,196,0,256,807,0.409727864,23
17,37,24310.93,35694,66951,2582,1571,3276,11311.572,0.465287506,368,4410.18,4984,9384,296,178,328,1342.17,0.304334517,20,5573.28,5190,12764.8,274,133,340,2569.7,0.461074986,19,7200.55,5070,19994,629,195,769,2476.816,0.343975946,23,32533.52,27278,72786,1660,883,2448,18853.75,0.579517679,234,6585.54,5690,28714,411,182,1002,2886.55,0.438316372,106,7820.39,10258,23620,862,398,1076,3937.183,0.503450979,138,10877.47,8032,34768,1309,374,1611,2890.69,0.265750216,129,7879.36,5002,36742,741,168,1334,2104.57,0.267099104,100,3349.94,0,10632,233,0,372,1501.57,0.448237879,59,35399.98,35660,127148,5587,1996,7267,17728.659,0.500809859,278,17262.5,15848,53938,2041,792,2529,8094.686,0.468917364,175,4696.21,5868,19096.1,349,182,591,1249.58,0.26608265,84,3764.59,0,17690,125,0,220,1868.81,0.496417937,27,3038.24,0,9816,319,0,387,1176.9,0.38736242,27
18,39,22105.73,36976,58342,2487,1469,2804,9413.272,0.425829502,371,4923.1,7028,10192,366,251,351,1160.36,0.23569702,22,5207.69,4664,11586.8,261,120,309,2362.25,0.45360803,19,6388.85,4524,18174,626,174,699,1704.568,0.266803572,22,17629.93,7848,43524,932,267,1463,10208.99,0.579071499,161,8688.58,3540,21352,560,109,752,3304.97,0.380380914,84,6025.89,9278,15372,657,352,674,2829.031,0.469479363,119,9169.59,4506,30338,1222,213,1444,1971.24,0.214975806,130,7711.09,3998,31182,799,143,1161,1486.64,0.192792459,103,3134.41,0,12276,219,0,420,1256.833,0.400979132,61,24592.11,23636,98720,4228,1289,5646,11250.145,0.457469693,284,14814.36,11080,51678,1939,554,2447,6081.668,0.410525193,174,7399.55,6429,33456.5,584,210,1025,1415.93,0.191353528,84,5715.2,0,26980,195,0,331,2587.4,0.452722564,29,2032.78,0,8354,213,0,326,777.23,0.382348311,28
19,41,15024.97,24872,45494,1742,1028,2155,6378.069,0.424497952,364,3286.55,5040,7012,232,180,244,840.31,0.25568149,17,4068.72,4368,10508.8,207,112,280,1806.04,0.443884072,20,6388.1,4056,16302,582,156,627,2028.354,0.317520703,22,11652.98,5162,27990,582,173,942,6701.07,0.575052047,162,4882.15,4596,14834,308,144,513,1986.06,0.406800283,78,4709.59,8036,12952,546,314,574,2142.354,0.454891827,116,6369.66,4176,18362,816,198,861,1499.21,0.235367351,132,5716.13,2616,24876,574,99,918,1290.04,0.22568416,100,2075.66,0,10140,156,0,348,770.36,0.371139782,58,24394.93,18476,96224,4147,1011,5493,11340.077,0.464853845,274,11727.62,9500,41582,1490,475,1949,5075.617,0.432791734,176,5076.42,4009.5,19275.3,374,127,598,1123.18,0.221254349,83,5603.85,0,26925,184,0,328,2570.01,0.458615059,28,1311.65,0,4880,144,0,191,462.05,0.35226623,24
20,43,22074.78,26878,59410,2188,1032,2675,9831.88,0.445389716,356,5602.05,6328,11256,368,226,389,1817.06,0.324356262,23,5644.29,5490,10214,261,142,261,2629.28,0.465830069,18,5412.31,6240,11700,494,240,450,1697.898,0.313710412,21,9262.51,4772,25344,482,154,887,5331.32,0.575580485,154,2036.91,4390,2352,108,138,76,915.61,0.449509306,30,3198.15,7936,11666,351,299,513,1518.463,0.474794178,107,6580.5,2702,18170,769,127,857,1900.25,0.28876985,104,6846.25,1808,29086,627,66,1059,1915.32,0.279761913,101,3408.86,0,14748,242,0,540,1468.196,0.430699999,62,29474.26,14500,90588,4529,766,5076,14521.11,0.492670893,263,12559.66,6420,41008,1510,321,1918,5769.929,0.459401688,172,7220.61,4985,24246.6,531,162,776,1848.36,0.255983913,81,6145.92,0,24460,194,0,282,2856.92,0.464848225,17,1041.01,0,3504,108,0,138,409.61,0.393473646,26
21,48,19531.98,24704,55732,2124,1064,2738,8857.315,0.453477579,365,6233.02,5880,15304,427,210,528,1826.54,0.293042538,23,6127.96,2692,15568.8,308,68,416,2805.49,0.457817936,21,6230.9,2028,20150,555,78,775,2035.87,0.32673771,22,26429.76,11106,64356,1352,366,2201,15253.28,0.57712518,232,6563.38,3878,19598,406,120,675,2749.93,0.418980769,86,10260.61,9246,26668,1181,367,1227,4944.264,0.481868427,132,7876.7,3610,25094,971,170,1181,2035.08,0.258367083,135,9022.83,3190,38884,862,113,1422,2259.97,0.250472413,100,3098.85,0,11040,212,0,378,1381.6,0.445842813,58,36587.94,34084,130852,6055,1913,7521,17656.148,0.482567425,289,14265.93,12600,52112,1761,630,2456,6394.428,0.448230715,173,1936.29,5171,6210,133,167,169,529.77,0.273600545,58,5893.97,0,29450,200,0,366,2680.5,0.454786841,37,1794.77,0,6088,188,0,239,687.02,0.382789995,25
22,49,16628.09,26234,46154,1707,1104,2254,7788.916,0.468419163,365,4965.7,3724,10704,338,133,369,1525.47,0.307201402,20,5030.96,4148,12326.8,247,106,327,2314.23,0.459997694,20,5830.43,4420,17160,509,170,660,2005.948,0.344048038,22,20873.31,9284,50202,1062,323,1738,12121.1,0.580698509,224,6636.42,4396,15800,413,142,552,2850.38,0.429505667,79,6764.52,7608,16098,736,301,712,3334.445,0.492931501,119,6655.43,4332,21024,800,199,998,1889.84,0.283954605,138,7746.88,4660,27924,698,162,1014,2278.73,0.294148096,106,2648.7,0,10356,186,0,360,1081.24,0.408215351,59,33626.5,16608,116112,5355,911,6581,16485.094,0.490241149,280,13080.7,8260,43120,1585,413,2039,6120.599,0.467910662,173,4545.6,4586,15911.6,320,149,492,1166.89,0.256707585,83,3542.9,72,15945,120,1,199,1638.35,0.462431906,29,1757.75,0,4884,171,0,191,760.03,0.432387996,25
23,52,22583.99,25772,59844,2357,1088,2938,10685.61,0.473149784,335,7631.86,7420,16572,493,265,569,2610.86,0.342100091,17,3976.16,3580,10166,182,92,261,1895.35,0.476678504,15,7950.11,5512,17888,670,212,688,2914.056,0.366542853,22,14383.39,7308,29784,693,245,973,8467.85,0.588724216,159,6752.36,3906,13478,403,124,475,3068.07,0.454370028,70,6896.9,8746,16734,700,335,737,3545.693,0.514099523,109,6741.97,4704,20040,792,217,923,1849.25,0.274289266,119,7459.46,3662,32096,660,126,1135,2183.76,0.292750414,97,2762.12,0,10140,184,0,348,1246.264,0.451198355,60,34232.03,29900,123268,5261,1645,6868,17096.963,0.499443445,267,14225.22,12760,45468,1617,638,2124,6909.295,0.485707427,175,5436.42,4630.5,18995.1,385,146,603,1432.01,0.26341048,83,6068.02,0,23170,182,0,283,2903.35,0.478467441,23,1324.05,0,3554,130,0,140,569.85,0.430384049,26
24,54,19851.11,29848,47569,1894,1219,2275,9789.77,0.493159828,366,6532.48,10752,10192,412,384,355,2222.25,0.340184738,18,5290.43,4784,20200.8,253,120,522,2488.66,0.470407887,29,6444.84,4342,16770,523,167,645,2513.52,0.390005027,22,13288.18,4260,29826,651,148,994,7842.56,0.590190681,164,6370.01,4352,14676,346,138,516,3069.81,0.481916041,77,4486.84,8688,12606,430,336,558,2398.189,0.534493987,116,6150.99,3374,17142,675,160,799,1974.93,0.321075144,128,7518.58,2658,24158,665,94,891,2280.88,0.303365795,102,2875.74,0,10140,185,0,348,1316.41,0.457763915,59,32215.49,23544,97488,4790,1268,5490,16516.297,0.51268185,274,13780.21,8480,45350,1572,424,2137,6857.023,0.497599311,174,6153.75,5327,20117.9,441,171,632,1693.15,0.275141174,81,4999.94,101,20690,155,2,255,2465.53,0.493111917,27,1311.78,0,5480,136,0,212,494.68,0.377105917,26
25,55,21780.93,28956,63486,2268,1247,3144,10222.386,0.469327343,362,3970.25,5516,10056,264,197,350,1196.77,0.301434418,24,4530.42,4242,11638.8,230,109,311,1973.41,0.435590961,21,6973.46,5720,17914,605,220,689,2423.88,0.347586421,22,30065.35,10304,78576,1549,345,2675,17655.91,0.587251105,237,6813.24,5430,19114,398,172,671,3015.24,0.442555965,92,6065.48,9602,17588,653,381,790,2939.913,0.484695853,117,10322.41,6782,33628,1283,316,1573,2525.07,0.2446202,135,11295.59,4560,50596,1042,166,1800,3010.76,0.266542961,106,3205.69,0,10800,228,0,378,1395.04,0.435176202,60,34413.68,24892,135892,5433,1367,7752,17113.461,0.497286573,283,18259.89,10080,56820,2139,504,2689,8706.811,0.476827133,182,3939.1,4472.5,19638.4,278,140,627,1113.95,0.282793024,80,6710.18,0,30625,207,0,374,3386.78,0.504722675,31,1859.78,0,6916,193,0,270,711.03,0.382319414,26
26,57,38663.47,54990,103664,3954,2157,4896,17921.348,0.463521458,387,5757.68,5880,12164,369,210,418,1982.2,0.344270609,21,7088.39,5612,13055.6,334,144,348,3376.61,0.476357819,21,6787.79,7592,17576,572,292,676,2494.572,0.367508718,23,19381.4,7570,59724,978,268,1989,11298.56,0.582958919,221,6819.07,4992,18300,381,154,635,3205.72,0.470111027,81,8145.57,13638,25750,858,526,1161,4090.707,0.502200214,136,11144.27,5722,32342,1297,260,1497,3158.81,0.283447009,128,10954.45,3330,36538,988,125,1351,3295.01,0.300791916,109,4019.97,0,15048,265,0,540,1764.256,0.438872927,62,49008.21,27496,172868,7548,1481,9843,24868.095,0.507427123,283,22339.99,13720,68302,2616,686,3201,10610.11,0.474937992,182,6020.68,4772,29187.2,426,155,888,1572.82,0.261236272,84,6617.54,0,34305,197,0,418,3365.81,0.508619517,26,3004.05,0,9960,302,0,388,1245.85,0.414723457,25
27,59,12846.93,18992,36043,1379,737,1710,5838.047,0.454431292,349,3319.11,2268,7572,215,81,260,1101.12,0.331751584,18,3496.35,4930,8080.8,163,127,213,1640.91,0.469320863,20,5034.54,5538,12324,433,213,474,1782.24,0.35400255,21,4489.29,5466,22302,234,184,762,2597.42,0.578581468,157,3577.61,5346,10592,214,170,380,1551.86,0.433770031,69,3193.02,6996,12112,351,283,540,1568.519,0.491233691,115,4093.98,3614,12802,489,174,592,1100.27,0.268753145,113,-54.92,0,0,-5,0,0,3.48,-0.063364894,15,2602.49,0,10140,172,0,348,1115.49,0.428624125,59,21461.9,11832,71088,3300,644,4041,10736.689,0.500267404,260,10919.23,4900,34604,1255,245,1626,5367.586,0.491571842,172,3121.39,4258,11084,219,134,344,920.63,0.294942317,73,3247.32,0,16195,109,0,201,1491.62,0.459338778,17,1160.45,0,3696,110,0,146,515.45,0.444181137,23
