Store,APT 9,,,,,,,,,CHAPS,,,,,,,,,CROFT & BARROW,,,,,,,,,GLORIA VANDERBILT,,,,,,,,,JENNIFER LOPEZ,,,,,,,,,LEE,,,,,,,,,SONOMA,,,,,,,,,TEKGEAR,,,,,,,,
,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH
31,34224.57,42351.23333,93434,1935,1035.833333,2081,13045.91,0.381185505,146.5,29869.92,58052.13333,94072,1390,1057.666667,1434,3650.4,0.122209902,72.33333333,67691.59,67644.815,148242,4900,2029.333333,4338,28676.9,0.423640514,223.5,12992.43,15010.06167,30512.13,566,359.3333333,702,4708.65,0.362414883,38.83333333,12422.71,17882.23333,36066,479,322.6666667,635,6677.53,0.537526031,55.16666667,11327.5,10255.825,19059.7,450,247.5,430,2851,0.251688369,20.16666667,41993.52,41249.33333,112930,3046,1256,3213,18037.85,0.429538891,134.5,11604.96,12435.86667,33028,963,421.3333333,1042,5362.376,0.462076216,67.16666667
32,24527.36,39094.56667,76002,1507,957.3333333,1693,8610.758,0.351067461,138.6666667,9966.39,20875.01667,26783,425,392.1666667,427,1972.56,0.197921213,48.33333333,38112,53526.325,109448,3037,1761.333333,3423,14825.279,0.388992417,204,6792.92,9682.32,12643.52,408,259.6666667,290,889.66,0.130968714,34.83333333,12282.5,22126.23333,36032,535,410.3333333,642,5888.365,0.479410951,59.33333333,4815.25,6891.923333,13421.49,213,162,287,996.75,0.206998598,18.33333333,28540.38,40835.66833,79846,2477,1370,2466,10004.861,0.350551079,139,8980.84,13212.7,27142,775,452.1666667,864,3905.219,0.434838946,71.5
33,27751.47,49952.2,81152,1894,1276,1802,7700.568,0.277483247,156,13340.63,23411.45,36722,546,438.6666667,562,2742.1,0.205545015,64.16666667,53602.98,80998.99,153974,4257,2466.833333,4396,20018.537,0.373459405,243,7753.19,11195.20167,18514.72,401,300.8333333,428,2009.45,0.25917719,38.16666667,10522.79,21889.46667,30386,537,450.6666667,532,4138.725,0.393310614,56.83333333,5983.94,8363.191667,10036.74,245,202,226,1429.45,0.238881072,21.83333333,38105.96,50250.76833,107872,3289,1667.666667,3177,12915.589,0.338938817,146.1666667,12197.87,16683.73333,39252,1093,575.8333333,1221,4973.163,0.407707493,79.16666667
34,19741.73,30456.96667,48188,1377,772.3333333,1124,5501.554,0.278676388,125.6666667,9668,16988,23185,454,323.6666667,371,1015.48,0.105035168,44.16666667,42480.5,54461.23333,122036,3419,1746.833333,3806,16484.991,0.388060192,210.1666667,6690.63,8523.203333,13859.42,318,215.6666667,314,2054.32,0.307044329,34.5,14524.71,22199.23333,37868,674,416.5,676,6433.662,0.442945987,59.16666667,2829.11,4385.78,5955.23,113,109.1666667,127,935.6,0.330704709,14,21676.98,31973.39,61824,2208,1146.166667,2055,5811.081,0.268076134,126.8333333,10203.95,15642.3,32944,879,552.1666667,1093,4572.992,0.448158997,73.16666667
35,23144.26,31378.23333,62896,1407,755.8333333,1409,8504.578,0.367459491,125.6666667,20189.56,27600.63333,44602,826,489.6666667,690,4554.26,0.225575,65.5,72610.05,72610.14167,174408,5146,2056.666667,4947,31806.79,0.438049416,221.3333333,13174.57,12881.61333,28751.35,565,305.3333333,665,4999.3,0.379465895,36.16666667,6956.52,14409.43333,24432,328,260,431,3042.118,0.437304572,48.33333333,12913.87,9515.983333,20806.25,503,226.3333333,475,3423.39,0.265094042,20.16666667,36834.67,34269.895,87122,2763,1053.333333,2559,15584.618,0.423096447,120,13881.69,12977.33333,37464,1178,429,1166,6226.298,0.448525936,66.83333333
37,33295.64,63348.66667,104160,2061,1512,2299,11297.09,0.339296376,158.6666667,18441.48,34644.73333,40699,818,639.8333333,615,2875.79,0.155941389,65.5,60677.01,87128.39667,158638,4586,2506.5,4593,25524.476,0.4206614,234.3333333,14397.68,17529.29,33514.25,634,409.5,775,5389.16,0.374307527,39,12832.06,25216.13333,44038,502,448.5,775,6717.503,0.523493734,60.16666667,9974.21,14508.86333,14727.63,398,345.1666667,337,2732.44,0.273950518,29.66666667,43867.95,62936.50833,118042,3503,1933.333333,3436,17333.559,0.395130363,138.5,15992.53,17642.7,41998,1293,577.8333333,1300,7372.567,0.461000667,73.83333333
39,46612.09,52044.56667,125198,2810,1197.666667,2809,16164.67,0.346791358,147,22474.52,43565.26667,57522,1070,790.6666667,876,2218.19,0.098697992,70.83333333,77851.23,89858.17167,194374,6361,2600,5628,27986.411,0.359485791,242.8333333,15231.77,14828.145,34297.04,700,347.1666667,796,5202.93,0.341584071,36.83333333,15782.92,30718.9,51080,731,559,897,7078.591,0.448496919,63,9095.95,8817.07,16953.15,393,212.5,385,1716.95,0.188759833,20.16666667,45053.63,56705.93667,120908,3676,1760.166667,3503,15929.363,0.353564474,132.8333333,17587.5,18691.33333,52264,1480,593.1666667,1535,7477.727,0.425172822,78.66666667
41,33126.13,48111.73333,102482,1955,1174.833333,2319,12728.764,0.384251466,152.8333333,20151.2,43128.61667,56459,959,813.5,859,1856.77,0.092141907,73.66666667,74141.51,86889.83,194894,5741,2473.333333,5453,27662.127,0.373099051,250.5,11342.15,15425.09,27938.52,549,376.8333333,648,3560.13,0.313884934,37.83333333,11100.75,19235.23333,34388,450,362,602,5632.558,0.507403374,54.33333333,7862.85,9546.828333,12502.18,340,241.3333333,282,1562.1,0.198668422,23.66666667,43230.67,57280.90667,131362,3477,1828.666667,3836,16100.487,0.372432049,145.1666667,19731.17,21195.43333,60370,1590,656.5,1766,8771.187,0.444534561,91.83333333
43,22028.01,20288.1,56820,1199,473.1666667,1293,9133.817,0.414645581,113.1666667,10786.06,16494.56667,25574,450,303,390,2248.09,0.208425505,53.83333333,46450.67,39863.06167,107148,3348,1139,3087,19611.446,0.422199421,196.8333333,9238.61,7660.021667,16949.07,412,186.3333333,393,3401.13,0.368143043,31.5,7609.57,11426.53333,23424,298,202.6666667,414,4121.905,0.54167384,44.16666667,4833.65,5600.02,5455.77,208,135.6666667,123,984.4,0.203655623,19.16666667,28734.98,24701.83333,64240,2190,753,1872,11768.73,0.409561099,126.8333333,10030.22,8939.633333,25468,862,295.8333333,796,4363.905,0.435075701,65
48,32391.19,39268.1,87228,1893,949.5,1947,12155.249,0.375264046,138.3333333,26703.49,38658.41667,57699,1142,739.3333333,889,4873.95,0.182521086,71.5,74213.38,73230.155,173624,5679,2182.666667,5100,30054.071,0.404968363,223.6666667,12581.67,14809.77333,30185.02,606,361.3333333,698,3899.29,0.309918318,39.33333333,7145.23,18174.46667,27478,339,340.6666667,482,3170.527,0.443726374,51.33333333,7262.71,10642.57,15463.51,307,259.8333333,349,1651.45,0.227387573,22.83333333,40415.86,39885.76333,100822,3130,1259.833333,2959,16240.463,0.401833909,136.6666667,16871.99,14668.9,44388,1392,488.1666667,1375,7746.082,0.459108973,72.5
49,22303.26,26656.73333,63408,1252,646.6666667,1438,8968.589,0.402120094,125,16691.65,20228.91667,33071,676,391.5,507,3756.2,0.225034673,61.16666667,49838.29,54050.765,122356,3686,1619.166667,3584,21360.746,0.428601102,213.3333333,12885.58,14133.39167,28556.39,567,339.3333333,661,4738.66,0.367749065,36.16666667,7432.82,12335.5,25192,289,225.3333333,445,4008.395,0.539283206,41.66666667,10218.25,9669.53,15353.45,409,236,355,2683.25,0.262593888,19.5,28856.49,28888.86667,71564,2271,939,2065,11483.975,0.397968533,127,17103,16621.2,51910,1354,531.3333333,1588,8136.455,0.47573262,71
52,19511.19,33196.66667,64082,1153,775.3333333,1455,7178.857,0.367935375,127.5,20083.22,32588.01667,41594,852,619.6666667,634,3908.62,0.194621181,69.5,41670.33,52076.15667,104672,2966,1479.833333,2982,17949.261,0.430744393,207.6666667,9667.07,10799.70667,19987.36,416,254.3333333,464,3768.33,0.389810977,34.16666667,6304.82,16667.43333,20668,270,304.6666667,366,3128.203,0.496160557,46.16666667,6805.42,8008.276667,10746.6,276,192.6666667,240,1662.91,0.244350826,21.33333333,27100.08,31630.825,68344,2014,966.6666667,1945,10952.291,0.404142386,129.5,12537.84,11465.96667,35660,1009,368.3333333,1100,5978.251,0.476816661,65.66666667
54,25509.38,33629.96667,73644,1392,816.6666667,1646,10457.527,0.409948301,130.5,19681.4,32229.83333,39570,878,636.8333333,606,3066,0.155781601,69.5,67419.53,78728.31167,165440,4718,2257,4600,29360.817,0.43549424,245.5,13743.42,14617.04333,31573.66,581,357,734,5481.3,0.398830859,36.83333333,9445.42,15154.7,28200,382,281.5,493,4843.901,0.512830663,50.16666667,9711.73,10831.675,17663,378,259.3333333,400,2709.47,0.278989428,20.33333333,35638.16,39672.66333,94566,2589,1255.833333,2727,15295.864,0.429199038,141.8333333,15146.79,17445.4,43674,1106,535.6666667,1248,7300.622,0.481991366,89.66666667
55,23005.17,30923.26667,67038,1350,804.3333333,1503,8774.75,0.381425132,129.3333333,16203.77,27916.86667,37466,697,550.8333333,574,2937.83,0.181305338,64.33333333,55939.22,64189.23167,142392,4156,1939.5,4126,23491.877,0.419953603,226.5,10058.51,11931.52167,24588.31,434,288.1666667,569,3733.04,0.371132504,35,6216.02,14713.83333,24244,267,285,426,3030.275,0.48749441,51.66666667,7142.76,10108.54167,12936.02,307,248.1666667,298,1560.8,0.218514972,21,27807.61,34929.56,75418,2170,1132.666667,2159,10470.679,0.376540055,135,16834.97,19709.56667,56994,1375,625.3333333,1764,7865.827,0.467231424,71.16666667
57,17484.29,20039.16667,48958,973,475.3333333,1141,7322.308,0.418793557,103.5,8696.93,16853.16667,28059,353,301.1666667,427,1906.16,0.219176192,52.66666667,41605.57,43514.32,103636,2922,1270,2996,18571.971,0.446381843,199.3333333,7654.09,8409.075,13754.8,345,209.8333333,320,2718.6,0.355182654,31.83333333,5014.12,10478.43333,19030,217,194.6666667,336,2523.35,0.503248825,39.5,3723,6613.938333,5479.76,184,165.6666667,124,542.26,0.145651356,20.66666667,19103.49,22896.6,47866,1649,706.6666667,1369,6745.792,0.353118305,121.3333333,8909.18,16770.93333,34576,747,554.8333333,1058,3968.022,0.445385771,72
59,12049.49,18953.06667,40094,729,452.3333333,901,4238.494,0.351757128,95,6880.42,15495.83333,23444,345,296,356,338.85,0.049248447,48,28193.08,43897.3,70428,2250,1288.666667,2000,10587.699,0.375542474,213.8333333,5726.61,8844.138333,12354.12,286,217,288,1658.87,0.289677488,32.83333333,4149.09,11352.23333,17858,212,211.3333333,313,1688.127,0.406866807,42.33333333,2912.12,6219.655,4615.96,156,158.8333333,104,218.87,0.075158304,19.83333333,12949.41,20796.86667,37074,1204,649.6666667,1033,3652.96,0.282094705,118.1666667,7651.7,12353.13333,24724,686,422.6666667,757,3243.316,0.423868683,71.16666667
60,19537.8,27949.2,59720,1196,699.6666667,1359,6958.365,0.35614885,129.3333333,17667.74,31865.33333,44887,815,632,679,2273.92,0.128704633,68.16666667,56042.71,65906.295,136658,4377,2006.666667,3998,22345.674,0.398725793,231.1666667,9844.9,10846.63167,21145.08,456,271.8333333,492,3456.66,0.351111743,36,6554.88,13897.86667,24050,280,259.6666667,424,3238.475,0.494055574,50.5,4904.59,7184.478333,7267.37,216,185.6666667,163,897.84,0.183061173,21.83333333,24464.17,32783.94667,69606,1917,1036.666667,1958,8960.044,0.366251706,135.5,10903,13415.16667,33328,925,444.6666667,1024,4791.521,0.439468128,70
62,38859.3,38231.36667,89000,2144,886.5,1998,15617.79,0.401906107,139.6666667,21084.24,34645.06667,46565,992,646.1666667,707,2490.19,0.1181067,68.16666667,75392.93,69844.03,162632,5699,2095.666667,4759,30609.682,0.406002022,225.1666667,13675.56,12109.055,26045.94,611,289,606,5091.09,0.372276528,36.83333333,13741.66,20484.13333,38890,563,365.5,688,6720.281,0.489044337,58.33333333,7423.58,8782.306667,11785.35,307,209.1666667,265,1823.58,0.245646979,20.5,40049.96,43630.13333,97666,3267,1355.666667,2856,14697.587,0.366981315,136,16389.52,14955.16667,34174,1432,517.1666667,1053,7027.052,0.428752764,78.66666667
63,19356.86,26982.36667,55514,1213,660.8333333,1286,6657.674,0.343943904,122.8333333,7843.7,20161.08333,26337,377,379.5,401,794.46,0.101286383,54.83333333,50361.32,62226.43167,118602,4075,1884.833333,3361,18654.979,0.370422757,231,8244.97,10020.55,16394.19,366,240.3333333,381,2896.22,0.351271139,32.83333333,6291.77,14068.26667,21214,285,256.5,375,2892.573,0.459739151,48.16666667,4435.08,7266.71,6343.56,211,179.3333333,144,730.58,0.164727581,21.83333333,23862.76,30595.8,61840,2079,967.3333333,1804,7793.95,0.326615614,131.8333333,14844.14,19173.13333,49290,1280,615.1666667,1504,6373.68,0.429373477,76.5
64,29196.74,29112.83333,74570,1716,694.5,1670,11106.563,0.380404216,124.3333333,19574.09,32488.83333,45694,914,608.8333333,698,2273.45,0.116145885,70.16666667,68006.5,68087.13333,146350,5458,2111.5,4268,25777.384,0.379042944,234,13242.69,12847.23667,29285.2,635,314.5,680,4368.29,0.32986425,37.66666667,8163.03,15677.53333,27602,356,287.6666667,486,3960.734,0.485203901,48.5,10851.61,14248.35833,18205.82,466,345,418,2306.16,0.212517774,29.5,33386.71,35843.115,91662,2668,1132,2673,12257.37,0.36713321,134.5,15782.33,15511.6,42496,1380,523,1301,6659.028,0.421929335,72.83333333
65,18003.99,20553.53333,53552,1091,476.1666667,1246,6665.503,0.370223656,109.1666667,8534.32,18879.08333,25652,413,401.1666667,388,791.41,0.092732637,52.33333333,46611.64,53146.835,109626,3664,1532,3183,18015.549,0.386503221,224.6666667,7573,9044.91,16814.1,361,216.3333333,390,2464.65,0.325452265,33,6447.7,11666.2,21116,263,209.3333333,372,3345.584,0.518880221,42.33333333,5108.05,6042.903333,7438.32,214,149.5,168,1195.57,0.234056049,21.33333333,23517.1,27887.82,67208,1924,832.6666667,1918,8318.052,0.353702285,124.5,12333.72,13465.83333,38172,1044,444,1177,5407.257,0.438412498,68.33333333
66,20916,30344.26667,64484,1329,724.8333333,1468,7183.106,0.343426372,125,16679.33,30052.8,43794,762,559.6666667,666,2266.43,0.135882556,66.83333333,54767.78,66000.525,129136,4387,1973.166667,3715,20512.044,0.374527578,232.8333333,9817.63,11992.76667,20413.25,466,286.3333333,475,3145.9,0.32043375,36.33333333,5360,15730.66667,23020,282,299.1666667,409,2053.263,0.383071455,47.33333333,5721.09,8929.038333,11217.45,255,220.5,255,1064.1,0.185996025,21,26721.8,32439.42833,74802,2196,1012.833333,2229,9773.87,0.365763908,131.6666667,12303.72,11091.86667,38264,1018,355.6666667,1184,5573.366,0.452982188,66
67,15182.64,23026.93333,46892,941,577.3333333,1070,4889.08,0.322017778,111,8121.86,16695.25,28002,389,333.3333333,426,758.73,0.093418256,50.33333333,32395.58,42705,83750,2492,1284.5,2422,12886.361,0.397781457,205.1666667,6280.38,9755.673333,12054.2,290,240.3333333,280,2112.88,0.336425503,33.5,4033.33,11084.16667,18926,185,206,336,1867.076,0.462911788,41.66666667,3233.16,7130.001667,5296.81,151,180.6666667,119,517.67,0.160112707,20.83333333,19400.63,26430.525,53564,1606,844,1491,6570.878,0.338694053,127.1666667,8666.6,13533.9,33548,715,437.3333333,1024,3983.982,0.459693767,64.33333333
68,21104.12,34313.83333,70232,1342,843,1566,6880.456,0.326024302,132.3333333,17738.18,30402.9,41773,853,625.1666667,641,1566.57,0.088316276,67.66666667,63566.47,80310.22833,167908,4931,2426.833333,4843,24534.587,0.385967429,230.1666667,9699.81,12991.05667,21969.91,477,315.3333333,509,2830.83,0.291843861,35.66666667,7718.97,16077.3,27864,333,300,489,3795.382,0.491695395,48.66666667,6655.98,7950.55,10626.59,290,193.5,241,1390.26,0.208873825,23.83333333,34562.62,38325.18833,98676,2875,1171.833333,2888,12090.066,0.34980178,132.5,17644.45,23378.36667,61614,1523,768.1666667,1906,7638.492,0.432911879,76.83333333
70,18346.73,23378.33333,47730,1119,605,1098,6639.93,0.36191354,115.1666667,8093.26,20265.2,27597,411,393.5,421,371.39,0.045888801,58.66666667,51014.79,59464.5,123794,3910,1788.5,3593,20615.642,0.404111082,226.3333333,6961.34,9626.806667,13475.88,331,244.8333333,312,2159.35,0.310191716,33.33333333,4421.1,11781.73333,18228,217,228,323,1847.489,0.417879939,39.66666667,4292.57,7363.665,6220.59,204,190.8333333,141,662.07,0.154236273,20.83333333,19221.03,24272.295,50060,1632,792.8333333,1459,6480.264,0.337144471,122.6666667,8883.53,15986.23333,30506,758,539.6666667,940,3902.304,0.439274027,75.83333333
71,15769.75,29120.9,55398,1048,722.1666667,1268,4756.575,0.301626532,129.3333333,9249.54,23978.25,29376,486,503,448,5.8,0.000627058,63.66666667,42713.65,60383.63667,109524,3386,1783.833333,3111,15826.256,0.370519869,238.6666667,6542.19,11040.395,18565.71,312,243,429,2046.94,0.312882995,34.66666667,5636.53,15107.63333,23736,278,277.8333333,420,2316.558,0.410990095,46.66666667,7700.15,8452.595,12351.18,338,201.3333333,282,1600.15,0.20780764,21.66666667,24784.67,32012.065,71112,2075,985.6666667,2053,8369.373,0.337683455,128.5,12875.15,18035.43333,50460,1114,579.3333333,1534,5420.051,0.42096993,70.16666667
72,27579.59,41971.56667,81398,1727,1101,1821,9387.721,0.340386532,143.6666667,21416.26,37330.73333,56474,977,769.6666667,862,3043.34,0.142104177,70.5,66019.02,68384.50833,155926,5181,2130.833333,4629,26185.641,0.396637833,235.6666667,11888,13599.63833,26207.94,598,330.3333333,606,3168.59,0.266536844,39.66666667,8122.27,17891.23333,29596,366,351.5,519,3724.814,0.458592733,54.16666667,7317.48,9531.451667,13367.95,314,236.6666667,305,1557.51,0.212847866,21.66666667,38760.04,47563.025,106510,3119,1595.833333,3154,14554.03,0.375490583,138,14126.23,16472.76833,40224,1190,562.6666667,1230,6438.657,0.455794433,80.83333333
73,37512.48,47582.5,105424,2149,1121.5,2361,14779.023,0.393976165,151,20319.02,38153.06667,56431,949,729.8333333,859,2194.17,0.107986015,69.16666667,82474.26,91630.945,191520,6542,2871,5652,32007.429,0.38808992,236.6666667,12410.27,13261.58667,26162.94,557,317.8333333,606,4421.5,0.356277502,37.16666667,14202.57,22816.6,43466,583,411.3333333,764,7201.91,0.507084985,59.66666667,9165.11,9289.266667,16308.29,373,227.1666667,371,2227.36,0.243025998,22.66666667,49664.2,57862.135,130470,4073,1790,3903,18509.738,0.372697798,139.3333333,19285.19,22100.36667,49172,1692,743.8333333,1519,8534.581,0.44254586,86.33333333
75,19178.05,28695.7,59174,1194,722.6666667,1350,6763.308,0.352658795,127.1666667,14149.49,24550.75,34079,621,484,519,2057.45,0.145408068,65.33333333,52196.61,63417.96167,135844,4068,1928,3878,20045.295,0.384034423,232.5,9251.15,9543.885,19420.48,438,246.8333333,452,2954.67,0.319384077,35.16666667,8011.34,13987.53333,26330,355,268,466,3772.747,0.470925838,47.5,3632.23,7008.011667,6088.62,181,185.6666667,138,387.98,0.106815923,20.83333333,26091.19,31367.46833,70208,2186,1018.333333,2002,9067.955,0.34754854,130.8333333,11472.11,13123.23333,37358,959,441.5,1139,5123.333,0.446590296,68.16666667
